430,syr. 434,syr. 611,syr. 612
ܢܫܬܠܛܥܠܩܢܝܢܝ܂ܗܝܕܝܢܐܢܐܐܚܝܩܪܢܣܒܬܠܘܬܝܐܚܐܕܢܐܕܢܢܒܘܙܪܕܢܘܐܝܬܝܬܗܠܒܝܬܝ܂ܕܐܠܦܝܘܗܝܘܢܐܚܘܕܕܘܟܬܗܕܐܚܘܗܝ܂ܘܟܕܚܙܝܗܝܢܐܕܢܠܐܚܘܗܝ,,ܢܬܩܪܒܠܩܢܝܢܘ̈ܗܝܕܐܚܝܩܪܣܦܪܐܟܡܐ,ܢܬܩܪܒܠܩܢܝܢܘ̈ܗܝܕܐܚܝܩܪܣܦܪܐܟܡܐ
,,ܕܒܚ̈ܝܐ,ܕܒܚܝ̈ܐ
,,ܐܝܬܘܗܝ܂ܒܬܪܟܢܢܣܒܐܚܝܩܪ,ܐܝܬܘܗܝ܂ܒܬܪܟܢܢܣܒܐܚܝܩܪ
,,ܠܢܒܘܙܪܕܢ,ܢܒܘܙܪܕܢ
,,ܐܚܘܗܝܕܢܕܢ,ܐܚܘܗܝܕܢܕܢ
,,ܕܢܪܒܝܘܗܝ,ܕܢܐܪܒܝܗܝ
,,ܒܒܝܬܗ܂,ܒܒܝܬܗ܂
,,ܗ̇ܝܕܝܢ,ܗܝܕܝܢ
,,ܟܕܚܙܐܢܕܢܕܢܣܒܬܠܢܒܘܙܪܕܢܘܐܩܝܡܬܗܩܕܡܝ,ܟܕܚܙܐܢܕܢܕܢܣܒܬܠܢܒܘܙܪܕܢܘܐܩܝܡܬܗܩܕܡܝ
ܒܒܝܬܐ,,ܒܒܝܬܐ,ܒܒܝܬܐ
ܚܣܡܒܗܘܐܬܚܡܬܘܪܓܙܛܒ܂ܘܫܪܝܪܫܐܟܕܐܡܪܗܘܝܐܚܝܩܪܫܢܐܘܐܒܕܬܚܟܡܬܗ܂ܘܒܛܠܡܕܥܗܡܛܠܕܐܫܠܡܩܢܝܢܗܘܒܝܬܗ,,ܐܬܒܐܫܠܗ܂ܘܩܨܦܟܕܣܡܢܕܢܒܬܪܥܝܬܗܡ̈ܠܐܕܒܝܫܘܬܐ܂ܠܗܕܐܐܡܪܗܟܢܐ܂ܐܚܝܩܪܐܒܝܣܐܒ,ܐܬܒܐܫܠܗ܂ܘܩܨܦܟܕܣܡܢܕܢܒܬܪܥܝܬܗܡ̈ܠܐܕܒܝܫܘܬܐ܂ܠܗܕܐܐܡܪܗܟܢܐ܂ܐܚܝܩܪܐܒܝܣܐܒ
,,,ܠܗ
,,ܘܚܟܡ̱ܬܗܥܒܪܬ܂ܘܡܠܘܗ̈ܝܫܛ̈ܝ܂ܕܠܡܐܢܟܣܘ̈ܗܝ,ܘܚܟܡ̱ܬܗܥܒܪܬ܂ܘܡܠܘܗ̈ܝܫܛ̈ܝ܂ܕܠܡܐܢܟܣܘ̈ܗܝ
ܠܐܚܝ,,ܠܐܚܝ,ܠܐܚܝ
ܢܒܘܙܪܕܢܛܠܝܐܙܥܘܪܐܕܠܐܡܕܥܘܕܠܐܬܪܥܝܬܐ܂ܘܛܪܕܢܝܠܝܡ̣ܢ,,ܢܬܠ܂ܘܠܝܢܪܚܩܡܢ,ܢܬܠ܂ܘܠܝܢܪܚܩܡܢ
ܒܝܬܗ܂,,ܒܝܬܗ܂,ܒܝܬܗ܂
ܘܟܕܫܡܥܬܗܠܝܢܐܡܪܬ,,ܘܫܡܥܐܚܝܩܪܡܠܘܗ̈ܝܕܢܕܢ܂ܗܝܕܝܢܐܬܚܫܒ,ܘܫܡܥܐܚܝܩܪܡܠܘܗ̈ܝܕܢܕܢ܂ܗܝܕܝܢܐܬܚܫܒ
,,ܘܗܟܢܐ,ܘܗܟܢ
,,ܐܡܪܠܢܕܢ܂,ܐܡܪܠܢܕܢ܂
ܚܒܠܝܗ̇,,ܚܒܠܝܗ̇,ܚܒܠܝܗ̇
ܠܚܟܡܬܝܐܝܟܢܐܐܫܬܛܬܠܘܬ,,ܠܚܟܡ̱ܬܝ܂ܐܝܟܢܦܟܗܬܠܘܬܟ܂ܘܟܕܫܡܥ,ܠܚܟܡ̱ܬܝ܂ܐܝܟܢܦܟܗܬܠܘܬܟ܂ܘܟܕܫܡܥ
ܒܪܝ,,ܒܪܝ,ܒܪܝ
ܢܐܕܢ܂,,ܢܕܢ,ܢܕܢ܂
,,ܣܓܝ,ܣܓܝ
,,ܕܓܙ,ܪܓܙ
,,ܘܒܝܫܬܐܒܠܒܗܥܬܕܥܠܝ܂,ܘܒܝܫܬܐܒܠܒܗܥܬܕܥܠܝ܂
ܘܐܙܠ,,ܘܐܙܠ,ܘܐܙܠ
ܟܕܪܓܝܙܠܬܪܥܐܕܡܠܟܐܡܪܝ܂ܘܝܬܒܘܟܬܒ,,ܠܗܠܬܪܥܡܠܟܐܕܢܝܬܐܠܥܒܕܐܒܝܫܬܐܕܠܒܗ܂,ܠܗܠܬܪܥܡܠܟܐܕܢܝܬܐܠܥܒܕܐܒܝܫܬܐܕܠܒܗ܂
ܟܕ,,ܟܕ,ܟܕ
ܡܩܛܪܓܠܝܘܪܫܐܘܒܕܠܟܕܒܬ̈ܐ܂ܘܟܬܒܬܪܬܝܢ,,ܟܬܒܡ̣ܢܦܘܡܐܚܝܩܪ,ܟܬܒܡ̣ܢܦܘܡܐܚܝܩܪ
ܐܓܪ̈ܬܐ,,ܐܓܪ̈ܬܐ,ܐܓܪ̈ܬܐ
,,ܕܒܝܫܬܐ܂,ܒܝ̈ܫܬܐ܂
,,ܘܐܙܠܠܬܪܥܡܠܟܐܕܢܚܘܐܐܢܝ̈ܢ܂,ܘܐܙܠܠܬܪܥܡܠܟܐܕܢܚܘܐܐܢܝ̈ܢ܂
,,ܘܬܪ̈ܬܝܢ,ܘܬܪܬܝܢ
,,ܐܓܪ̈ܬܐܕܟ̣ܬܒ,ܐܓܪ̈ܬܐܕܟ̣ܬܒ
ܠܡܠܟ̈ܐ,,ܠܡ̈ܠܟܐܒܥܠܕܒ̈ܒܘܗܝ,ܠܡܠܟ̈ܐ
ܒܥܠܕܒܒ̈ܐ,,,ܒܥܠܕܒܒܘ̈ܗܝ
ܕܣܢܚܪܝܒ,,ܕܣܢܚܪܝܒ,ܕܣܢܚܪܝܒ
ܘܣܢܐܘ̈ܗܝ܂ܐܓܪܬܐܚܕܐܠܐܟܝܫ,,ܘܕܣܪܚܕܘܡ,ܘܣܪܚܕܘܡ
,,ܡ̣ܢ,ܡ̣ܢ
,,ܦܘܡ,ܦܘܡܝ
,,ܗܟܢ,ܗܟܢ
,,ܐܝܬܝܗܘܢ,ܐܝܬܝܗܝܢ
,,ܗ̄ܘܝ܂ܚܕܐܡܛܠ,ܗ̄ܘܝ܂ܚܕܐܡܛܠ
ܡܠܟܐ,,ܡܠܟܐ,ܡܠܟܐ
,,ܕܦܪܣܘܕܥܝܠܡܐܟܝܫ,ܕܦܪܣܘܕܥܝܠܡܐܟܝܫ
ܒܪ,,ܒܪ,ܒܪ
ܫܢܚܠܝܡܡܠܟܐܕܡܕܝܘܦܪܣ܂ܘܟܬܒ,,,
,,*,
,,ܣܡܚܠܝܡ܂,ܣܡܚܠܝܡ܂
,,,*
,,ܗܟܢܐ,
,,,ܗܟܢܐ܀
,,ܟܬܒ,ܟܬܒ
ܒܗ̇,,ܒܗ̇,ܒܗ̇
ܗܟܢܐ܂ܡ̣ܢܣܢܚܪܝܒܡܠܟܐܘܡ̣ܢ,,ܡ̣ܢ,ܡ̣ܢ
ܐܚܝܩܪ,,ܐܚܝܩܪ,ܐܚܝܩܪ
ܣܛܪܦܗܘܢܘܛܪܗ܆ܫܠܡܐܘܩܘܒܠܐܝ̈ܕܝܐ܂ܐܘܡܠܟܐܡܝܩܪܐܒܫܥܬܐܕܝܢܕܬܡܛܐܐܓܪܬܐܠܐܝܕܝ̈ܟܩܘܡܬܐܠܝܓܐܝܬܒܠܥܕܬܘܚܪܬܐ܆ܠܘܬܝܠܐܬܘܪܘܐܫܠܡ,,ܣܦܪܐܘܥܙܩܬܐܕܣܪܚܕܘܡ,ܣܦܪܐܘܥܙܩܬܐܕܣܪܚܕܘܡ
,,ܡܠܟܐ܂,ܡܠܟܐ܂܂
,,ܫܠܡ,ܫܠܡ
ܠܟ,,ܠܟ,ܠܟ
ܡܠܟ̇ܘܬܐ܂ܕܠܐܩܪܒܐܘܕܠܐܥܡܠܐ܂ܘܟܬܒܐܓܪܬܐܐ̄ܚܪܝܬܐܒܫܡܐܕܝܠܝܐܢܐܐܚܝܩܪܠܘܬܦܪܥܘܢܡܠܟܐܕܡܨܪܝܢ܂ܘܗܟܢܟܬܒܒܗ̇܂ܫܠܡܐܢܡܠܟܒܝܢܝ̈ܘܠܟܐܘ̇,,,
ܡܠܟܐ,,ܡܠܟܐ,ܡܠܟܐ
ܡܩܠܣܐ܂ܒܥܕܢܐܕܬܡܛܐܩܪܛܝܣܐ,,ܕܦܪܣܘܕܥܝܠܡ܂,ܕܦܪܣ܂ܕܥܝܠܡ
,,ܟܕܐܓܪܬܐ,ܟܕܐܓܪܬܐ
ܗܕܐ,,ܗܕܐ,ܗܕܐ
ܠܐܝܕܟܥܒܕܥܡܝܛܝܒܘܬܐ,,ܬܩܒܠ܂ܒܥܓܠܦܘܩ,ܬܩܒܠ܂ܒܥܓܠܦܘܩ
ܘܬܐ,,ܘܬܐ,ܘܬܐ
ܠܘܬܝܒܥܣܪܝܢܘܚܡܫܐܒܝܪܚܐܐܒ܂,,ܠܐܬܘܪ܂,ܠܐܬܘܪ܂
ܘܐܢܐ,,ܘܐܢܐ,ܘܐܢܐ
ܡܓܥܠܐ̄ܢܐܠܟܠܐܬܘܪܘܢܝܢܘܐܘܐܫܠܡܠܟܡܠܟܘܬܗ̇,,ܡܫܠܡܐ̄ܢܐܠܗ̇ܒܐܝܕܝ̈ܟܕܠܐܩܪܒܐܘܕܠܐܩܐܪܣܐ܂ܘܡܠܟܘܬܗܬܐܚܘܕ,ܡܫܠܡܐ̄ܢܐܠܗ̇ܒܐܝܕܝ̈ܟܕܠܐܩܪܒܐܘܕܠܐܩܐܪܣܐ܂ܘܡܠܟܘܬܗܬܐܚܘܕ
ܕܠܐ,,ܕܠܐ,ܕܠܐ
ܩܐܪܣܐܘܕܠܐܥܡܠܐ܂,,ܟܠܝܢܐ܂,ܟܠܝܢܐ܇܀
,,ܘܬܘܒܐܓܪܬܐܐ̄ܚܪܬܐܒܫܡܝܠܦܪܥܘܢܡܠܟܐܕܡܨܪܝܢ܂ܘܗܟܢܐܟܬܒܒܗ܂ܟܕܕܝܢܐܓܪܬܐܬܡܛܐܠܘܬܟ܂ܦܘܩܠܐܘܪܥܝܠܦܩܥܬܐܕܒܬܝܡܢܐ܂ܒܝܘܡܥܣܪܝܢܘܚܡܫܐ,ܘܬܘܒܐܓܪܬܐܐ̄ܚܪܬܐܒܫܡܝܠܦܪܥܘܢܡܠܟܐܕܡܨܪܝܢ܂ܘܗܟܢܐܟܬܒܒܗ܂ܟܕܕܝܢܐܓܪܬܐܬܡܛܐܠܘܬܟ܂ܦܘܩܠܐܘܪܥܝܠܦܩܥܬܐܕܒܬܝܡܢܐ܂ܒܝܘܡܥܣܪܝܢܘܚܡܫܐ
,,ܒܐܒܝܪܚܐ܂,ܒܝܪܚܐ܂܂ܐܒ܂܂
,,ܘܐܢܐܐܥܠܟ,ܘܐܢܐܐܥܠܟ
,,ܠܢܝܢܘ̈ܐ܂,ܠܢܝܢܘܐ܂
,,ܘܬܐܚܘܕܒܗܡܠܟܘܬܐܕܠܐܩܪܒܐ܂,ܘܬܐܚܘܕܒܗܡܠܟܘܬܐܕܠܐܩܪܒܐ܂
ܘܕܡܝ,,ܘܕܡܝ,ܘܕܡܝ
ܟܝܪܬܐܝܕܗܠܕܝܠܝ܂ܘܚܬܡܐܓܪ̈ܬܐܒܚܬܡܗܘܐܪܡܝ,,ܐܢܝ̈ܢ,ܐܢܝ̈ܢ
,,ܟܬܝܒ̈ܬܐܠܟܬܝܒ̈ܬܝ,ܟܬ̈ܝܒܬܐܠܟܬܝܒܬ̈ܝ
,,ܘܛܒܥܐܢܝܢ,ܘܛܒܥܐܢܝܢ
,,ܒܥܙܩ̈ܬܝ,ܒܥܙܩܬܝܕܝܠܝ
,,ܘܫܕܪ,ܘܫܕܪ
ܐܢܝܢ,,ܐܢܝ̈ܢ,ܐܢܝܢ
