162,Add_2020,Add_7200,Ar_7/229,Manuscrit_4122,Or_2313,Sachau_162,Sado_no_9,Syr_80
ܓܡܘܪܬܐܒܦܘܡܟ,ܓܡܘܪܬܐܒܦܘܡܟ,ܓܡܘܪܬܐܒܦܘܡܟ,ܓܡܘܪܬܐܒܦܘܡܟ,ܓܡܘܪܬܐܒܦܘܡܟ,,ܓܡܘܪܬܐܒܦܘܡܟ,ܓܡܘܪܬܐܒܦܘܡܟ,ܓܡܘܪܬܐܒܦܘܡܟ
ܘܬܟܘܟ܂,ܘܬܟܘܝܟ,ܘܬܟܘܝܟ܂,ܘܬܟܘܝܟ܂,ܘܬܟܘܟ,,ܘܬܟܘܝܟ܂,ܘܬܟܘܝܟ,ܘܬܟܘܝܟ܂
ܘܡܘܡܐܬܣܝܡ,ܘܡܘܡܐܬܣܝܡ,ܘܡܘܡܐܬܣܝܡ,ܘܡܘܡܐܬܣܝܡ,ܘܡܘܡܐܬܣܝܡ,,ܘܡܘܡܐܬܣܝܡ,ܘܡܘܡܐܬܣܝܡ,ܘܡܘܡܐܬܣܝܡ
ܒܢܦܫܟ܂,ܒܢܦܫܟ܉,ܒܢܦܫܟܘܥܠ,ܒܓܘܫܡܟ܂,ܒܢܦܫܟܘܥܠ,,ܒܓܘܫܡܟ܂,ܒܢܦ̮ܫܟ,ܒܢܦܫܟܘܥܠ
,,ܐܪܥܐܬܣܬܢܐ,,,,,,
ܘܥܠ,ܘܥܠ,ܘܥܠ,ܘܥܠ,,,ܘܥܠ,ܘܥܠ,
ܐܠܗܐ,ܐܠܗܐ,ܐܠܗܐ,ܐܠܗܐ,ܐܠܗܐ,,ܐܠܗܐ,ܐܠܗܐ,ܐܠܗܐ
ܬܬܪܥܡ܀,ܬܬܪܥܡ܀,ܬܬܪܥܡ,ܬܬܪܥܡ܀,ܬܬܪܥܡ܆,,ܬܬܪܥܡ܀,ܬܬܪܥܡ,ܬܬܪܥܡ܂
,,܂܂,٢܆,,,,,
ܒܪܝܟܠ,ܒܪܝܟܠ,ܒܪܝܟܠ,ܒܪܝܟܠ,ܒܪܝܟܠ,,ܒܪܝܟܠ,ܒܪܝܟܠ,ܒܪܝܟܠ
ܕܬܚܙܐ,ܕܫܡܥ,ܕܚܙܐ,ܕܚܙܐ,ܕܫܡܥ,,ܕܚܙܐ,ܕܫܡܥ,ܕܫܡܥ
,ܐܢܬ,ܐܢܬ,ܐܢܬ,ܐܢَܬ,,ܐܢܬ,ܐܢ̄ܬ,ܐܢ̄ܬ
,,,,ܠܐ,,,ܠܐ,ܠܐ
ܠܐ,ܠܐ,ܠܐ,ܠܐ,,,ܠܐ,,
ܬܐܡܪ܂,ܬܐܡܪ܂,ܬܐܡܪ܆,ܬܓܠܐ܂,ܬܐܡܪ,,ܬܓܠܐ܂,ܬܐܡܪ,ܬܓܠܐ܂
