430,syr_422,syr_434,syr_611,syr_612
ܒܒܝܬܐܚܣܡܒܗܘܐܬܚܡܬܘܪܓܙܛܒ܂ܘܫܪܝܪܫܐܟܕܐܡܪܗܘܝܐܚܝܩܪܫܢܐܘܐܒܕܬܚܟܡܬܗ܂ܘܒܛܠܡܕܥܗܡܛܠܕܐܫܠܡܩܢܝܢܗܘܒܝܬܗܠܐܚܝܢܒܘܙܪܕܢܛܠܝܐ,,,ܐܚܘܗܝ,ܐܚܘܗܝ
,ܕܢܕܢ,,ܕܢܕܢ,ܕܢܕܢ
,ܕܢܪܒܝܘܗܝ܂,,ܕܢܪܒܝܘܗܝ,ܕܢܐܪܒܝܗܝ
,,,ܒܒܝܬܗ܂,ܒܒܝܬܗ܂
,ܗܝܕܝܢ,,ܗ̇ܝܕܝܢ,ܗܝܕܝܢ
,ܟܕܚܙܐ,,ܟܕܚܙܐ,ܟܕܚܙܐ
,ܠܐܚܘܗܝ,,ܢܕܢܕܢܣܒܬܠܢܒܘܙܪܕܢܘܐܩܝܡܬܗ,ܢܕܢܕܢܣܒܬܠܢܒܘܙܪܕܢܘܐܩܝܡܬܗ
ܙܥܘܪܐ,ܙܥܘܪܐ,,,
ܕܠܐܡܕܥܘܕܠܐܬܪܥܝܬܐ܂ܘܛܪܕܢܝܠܝ,ܕܢܣܒܬܗܘܪܒܝܬܗܗܐܩܐܡ,,,
,ܩܕܡܝ,,ܩܕܡܝ,ܩܕܡܝ
,ܒܒܝܬܝܘܐܬܒܐܫ,,ܒܒܝܬܐܐܬܒܐܫ,ܒܒܝܬܐܐܬܒܐܫ
,ܠܗ܂ܘܩܨܦܟܕܣܡܢܕܢ,,ܠܗ܂ܘܩܨܦܟܕܣܡܢܕܢ,ܠܗ܂ܘܩܨܦܟܕܣܡܢܕܢ
,ܒܬܕܥܝܬܗ,,ܒܬܪܥܝܬܗ,ܒܬܪܥܝܬܗ
,ܡ̈ܠܐܕܒܝܫܘܬܐ܂ܠܗܕܐ,,ܡ̈ܠܐܕܒܝܫܘܬܐ܂ܠܗܕܐ,ܡ̈ܠܐܕܒܝܫܘܬܐ܂ܠܗܕܐ
,ܐܡ̣ܪ,,ܐܡܪ,ܐܡܪ
,ܗܟܢܐ܂ܐܚܝܩܪܐܒܝܣܐܒ,,ܗܟܢܐ܂ܐܚܝܩܪܐܒܝܣܐܒ,ܗܟܢܐ܂ܐܚܝܩܪܐܒܝܣܐܒ
,,,,ܠܗ
,ܘܚܟܡ̱ܬܗ,,ܘܚܟܡ̱ܬܗ,ܘܚܟܡ̱ܬܗ
,ܥܒܕܬ܂ܘܡܠܘ̈ܗܝ,,ܥܒܪܬ܂ܘܡܠܘܗ̈ܝ,ܥܒܪܬ܂ܘܡܠܘܗ̈ܝ
,ܫܛ̈ܝ܂ܕܠܡܐ,,ܫܛ̈ܝ܂ܕܠܡܐ,ܫܛ̈ܝ܂ܕܠܡܐ
,ܢܬ݁ܠ,,,
,ܢܟܣܘ̈ܗܝ,,ܢܟܣܘ̈ܗܝ,ܢܟܣܘ̈ܗܝ
,ܠܐܚܝ܂,,ܠܐܚܝܢܬܠ܂,ܠܐܚܝܢܬܠ܂
,ܘܠܝܢܪܚܩ,,ܘܠܝܢܪܚܩ,ܘܠܝܢܪܚܩ
ܡ̣ܢ,ܡ̣ܢ,,ܡܢ,ܡܢ
ܒܝܬܗ܂,ܒܝܬܗ܂,,ܒܝܬܗ܂,ܒܝܬܗ܂
,ܘܫܡܥܐܚܝܩܪ,,ܘܫܡܥܐܚܝܩܪ,ܘܫܡܥܐܚܝܩܪ
,ܡܠܘ̈ܗܝ,,ܡܠܘܗ̈ܝ,ܡܠܘܗ̈ܝ
,ܕܢܕܢ܂ܗܝܕܝܢ,,ܕܢܕܢ܂ܗܝܕܝܢ,ܕܢܕܢ܂ܗܝܕܝܢ
,ܐܬܚܫܒ܂ܦܢܝܗ̄ܘ̣ܐܐܚܝܩܪܠܢܕܢܘܗܟܢܐܐܡ̣ܪܠܗ܂ܚܒܠܝܗܠܚܟܡܬܝ܂ܒܪܝ,,ܐܬܚܫܒ,ܐܬܚܫܒ
,,,ܘܗܟܢܐ,ܘܗܟܢ
,,,ܐܡܪܠܢܕܢ܂ܚܒܠܝܗ̇ܠܚܟܡ̱ܬܝ܂,ܐܡܪܠܢܕܢ܂ܚܒܠܝܗ̇ܠܚܟܡ̱ܬܝ܂
,ܐܝܟܢܦܟܗܬܠܘܬܟ܂,,ܐܝܟܢܦܟܗܬܠܘܬܟ܂,ܐܝܟܢܦܟܗܬܠܘܬܟ܂
ܘܟܕ,ܘܟܕ,,ܘܟܕ,ܘܟܕ
ܫܡܥܬ,,,,
ܗܠܝܢ,ܗܠܝܢ,,,
ܐܡܪܬܚܒܠܝܗ̇ܠܚܟܡܬܝܐܝܟܢܐܐܫܬܛܬܠܘܬܒܪܝܢܐܕܢ܂,ܫܡܥܒܪܝ,,ܫܡܥܒܪܝ,ܫܡܥܒܪܝ
,,,ܢܕܢ,ܢܕܢ܂
,ܣܓܝ,,ܣܓܝ,ܣܓܝ
,ܕܓܙ,,ܕܓܙ,ܪܓܙ
,ܘܒܝܫܬܐܒܠܒܗ,,ܘܒܝܫܬܐܒܠܒܗ,ܘܒܝܫܬܐܒܠܒܗ
,ܥܬ݂ܕܥܠܝ,,ܥܬܕܥܠܝ܂,ܥܬܕܥܠܝ܂
ܘܐܙܠ,ܘܐܙܠ,,ܘܐܙܠ,ܘܐܙܠ
ܟܕܪܓܝܙܠܬܪܥܐܕܡܠܟܐܡܪܝ܂ܘܝܬܒܘܟܬܒ,ܠܗܠܬܪܥܡܠܟܐ,,ܠܗܠܬܪܥܡܠܟܐ,ܠܗܠܬܪܥܡܠܟܐ
,ܕܗ̇ܝ,,ܕܢܝܬܐ,ܕܢܝܬܐ
,,,ܠܥܒܕܐ,ܠܥܒܕܐ
,ܒܝܫܬܐ,,ܒܝܫܬܐ,ܒܝܫܬܐ
,ܕܒܠܒ̇ܗ,,ܕܠܒܗ܂,ܕܠܒܗ܂
,ܠܥܒܕܐ,,,
,ܢܝܬ݁ܝܗ܂,,,
ܟܕ,ܟܕ,,ܟܕ,ܟܕ
ܡܩܛܪܓܠܝܘܪܫܐܘܒܕܠܟܕܒܬ̈ܐ܂ܘܟܬܒܬܪܬܝܢ,ܟܬܒ,,ܟܬܒ,ܟܬܒ
,ܒܐܚܝܩܪܐܓܪܬܐ,,ܡ̣ܢܦܘܡܐܚܝܩܪܐܓܪ̈ܬܐ,ܡ̣ܢܦܘܡܐܚܝܩܪܐܓܪ̈ܬܐ
,ܕܒܝܫܬܐ܂,,ܕܒܝܫܬܐ܂,ܒܝ̈ܫܬܐ܂
,ܘܠܬܪܥ,,ܘܐܙܠܠܬܪܥ,ܘܐܙܠܠܬܪܥ
,ܡܠܟܐ,,ܡܠܟܐ,ܡܠܟܐ
,ܐܬܐ,,,
,ܕܢܚܘܐܐܢܝ̈ܢ܂,,ܕܢܚܘܐܐܢܝ̈ܢ܂,ܕܢܚܘܐܐܢܝ̈ܢ܂
,ܘܟܬܒ,,ܘܬܪ̈ܬܝܢ,ܘܬܪܬܝܢ
ܐܓܪ̈ܬܐ,ܐܓܪ̈ܬܐ,,ܐܓܪ̈ܬܐ,ܐܓܪ̈ܬܐ
,ܬܪ̈ܬܝܢܒܫܡܝܠܡܠ̈ܟܐ,,ܕܟ̣ܬܒ,ܕܟ̣ܬܒ
ܠܡܠܟ̈ܐ,,,ܠܡ̈ܠܟܐܒܥܠܕܒ̈ܒܘܗܝ,ܠܡܠܟ̈ܐ
ܒܥܠܕܒܒ̈ܐ,ܒܥܠܕܒܒܘ̈ܗܝܕܣܢܚܪܝܒ,,,ܒܥܠܕܒܒܘ̈ܗܝܕܣܢܚܪܝܒ
ܕܣܢܚܪܝܒ,ܡܠܟܐ܂ܕܡ̣ܢ,,ܕܣܢܚܪܝܒ,ܘܣܪܚܕܘܡ
ܘܣܢܐܘ̈ܗܝ܂ܐܓܪܬܐ,,,ܘܕܣܪܚܕܘܡ,
ܚܕܐ,ܚܕܐ,,ܡ̣ܢ,ܡ̣ܢ
ܠܐܟܝܫܡܠܟܐܒܪܫܢܚܠܝܡܡܠܟܐܕܡܕܝܘܦܪܣ܂ܘܟܬܒ,ܡܢܗܝܢܠܐܦܝ̈,,ܦܘܡ,ܦܘܡܝ
,,,ܗܟܢ,ܗܟܢ
,ܡܠܟܐܕܦܪܣ,,,
,ܘܕܥܠܝܡ܂ܘܗܟܢܐ,,ܐܝܬܝܗܘܢ,ܐܝܬܝܗܝܢ
,,,ܗ̄ܘܝ܂ܚܕܐܡܛܠ,ܗ̄ܘܝ܂ܚܕܐܡܛܠ
,,,ܡܠܟܐܕܦܪܣ,ܡܠܟܐܕܦܪܣ
,,,ܘܕܥܝܠܡܐܟܝܫܒܪ,ܘܕܥܝܠܡܐܟܝܫܒܪ
,,,*,
,,,ܣܡܚܠܝܡ܂,ܣܡܚܠܝܡ܂
,,,,*
,,,ܗܟܢܐ,
,,,,ܗܟܢܐ܀
,ܟܬܒ,,ܟܬܒ,ܟܬܒ
ܒܗ̇,ܒܗ̇,,ܒܗ̇,ܒܗ̇
ܗܟܢܐ܂ܡ̣ܢܣܢܚܪܝܒܡܠܟܐܘܡ̣ܢ,ܡ̣ܢ,,ܡ̣ܢ,ܡ̣ܢ
ܐܚܝܩܪ,ܐܚܝܩܪ,,ܐܚܝܩܪ,ܐܚܝܩܪ
ܣܛܪܦܗܘܢܘܛܪܗ܆ܫܠܡܐܘܩܘܒܠܐܝ̈ܕܝܐ܂ܐܘ,ܣܦܪܐܘܥܙܩܬܐܕܣܪܚܕܘܡ,,ܣܦܪܐܘܥܙܩܬܐܕܣܪܚܕܘܡ,ܣܦܪܐܘܥܙܩܬܐܕܣܪܚܕܘܡ
,ܡܠܟܐ܂,,ܡܠܟܐ܂,ܡܠܟܐ܂܂
,ܫܠܡܠܟ,,ܫܠܡܠܟ,ܫܠܡܠܟ
ܡܠܟܐ,ܡܠܟܐ,,ܡܠܟܐ,ܡܠܟܐ
ܡܝܩܪܐܒܫܥܬܐܕܝܢܕܬܡܛܐܐܓܪܬܐܠܐܝܕܝ̈ܟܩܘܡܬܐܠܝܓܐܝܬܒܠܥܕܬܘܚܪܬܐ܆ܠܘܬܝܠܐܬܘܪܘܐܫܠܡܠܟܡܠܟ̇ܘܬܐ܂ܕܠܐܩܪܒܐܘܕܠܐܥܡܠܐ܂ܘܟܬܒ,ܕܦܪܣ,,ܕܦܪܣ,ܕܦܪܣ܂ܕܥܝܠܡ
,ܘܕܥܠܝܡ܂,,ܘܕܥܝܠܡ܂,
,ܟܕ,,ܟܕ,ܟܕ
ܐܓܪܬܐ,ܐܓܪܬܐ,,ܐܓܪܬܐ,ܐܓܪܬܐ
ܐ̄ܚܪܝܬܐܒܫܡܐܕܝܠܝܐܢܐܐܚܝܩܪܠܘܬܦܪܥܘܢܡܠܟܐܕܡܨܪܝܢ܂ܘܗܟܢܟܬܒܒܗ̇܂ܫܠܡܐܢܡܠܟܒܝܢܝ̈ܘܠܟܐܘ̇ܡܠܟܐܡܩܠܣܐ܂ܒܥܕܢܐܕܬܡܛܐܩܪܛܝܣܐ,,,,
ܗܕܐ,ܗܕܐ,,ܗܕܐ,ܗܕܐ
ܠܐܝܕܟܥܒܕܥܡܝܛܝܒܘܬܐ,ܬܩܒܠ܂ܒܥܓܠܦܘܩ,,ܬܩܒܠ܂ܒܥܓܠܦܘܩ,ܬܩܒܠ܂ܒܥܓܠܦܘܩ
ܘܬܐ,ܘܬܐ,,ܘܬܐ,ܘܬܐ
ܠܘܬܝܒܥܣܪܝܢ,ܠܐܬܘܪ܂ܘܐܢܐܡܫܠܡܐ̄ܢܐܠܗ̇,,ܠܐܬܘܪ܂ܘܐܢܐܡܫܠܡܐ̄ܢܐܠܗ̇,ܠܐܬܘܪ܂ܘܐܢܐܡܫܠܡܐ̄ܢܐܠܗ̇
,ܠܐܬܘܪ܂ܠܟ܂,,ܒܐܝܕܝ̈ܟ,ܒܐܝܕܝ̈ܟ
,ܘܡܠܟܘܬܗܬܐܚܘܕ,,,
,ܕܠܐܩܪܒܐܘܕܠܐܩܐܪܣܐ܂,,ܕܠܐܩܪܒܐܘܕܠܐܩܐܪܣܐ܂,ܕܠܐܩܪܒܐܘܕܠܐܩܐܪܣܐ܂
,,,ܘܡܠܟܘܬܗܬܐܚܘܕ,ܘܡܠܟܘܬܗܬܐܚܘܕ
,,,ܕܠܐ,ܕܠܐ
,,,ܟܠܝܢܐ܂,ܟܠܝܢܐ܇܀
,ܘܬܘܒ,,ܘܬܘܒ,ܘܬܘܒ
,ܟܬܒ,,,
,ܐܓܪܬܐܐ̄ܚܪܬܐ,,ܐܓܪܬܐܐ̄ܚܪܬܐ,ܐܓܪܬܐܐ̄ܚܪܬܐ
,ܒܫܡܝ܂,,ܒܫܡܝ,ܒܫܡܝ
,ܠܦܪܥܘܢܡܠܟܐ,,ܠܦܪܥܘܢܡܠܟܐ,ܠܦܪܥܘܢܡܠܟܐ
,ܕܐܝܬܒܡܨܪܝܢ܂,,ܕܡܨܪܝܢ܂,ܕܡܨܪܝܢ܂
,ܘܗܟܢܐܟܬܒܒܗ܂ܟܕ,,ܘܗܟܢܐܟܬܒܒܗ܂ܟܕ,ܘܗܟܢܐܟܬܒܒܗ܂ܟܕ
,ܐܓܕܬܐ,,ܕܝܢܐܓܪܬܐ,ܕܝܢܐܓܪܬܐ
,ܬܡܛܐܠܘܬܟ܂ܦܘܩܠܐܘܪܥܝܠܦܩܥܬܐ,,ܬܡܛܐܠܘܬܟ܂ܦܘܩܠܐܘܪܥܝܠܦܩܥܬܐ,ܬܡܛܐܠܘܬܟ܂ܦܘܩܠܐܘܪܥܝܠܦܩܥܬܐ
,ܕܒ̣ܬ݂ܝܡܢܐ܂,,ܕܒܬܝܡܢܐ܂,ܕܒܬܝܡܢܐ܂
,ܒܝܘܡܥܣܪܝܢ,,ܒܝܘܡܥܣܪܝܢ,ܒܝܘܡܥܣܪܝܢ
ܘܚܡܫܐ,ܘܚܡܫܐ,,ܘܚܡܫܐ,ܘܚܡܫܐ
ܒܝܪܚܐܐܒ܂ܘܐܢܐܡܓܥܠܐ̄ܢܐܠܟܠܐܬܘܪܘܢܝܢܘܐܘܐܫܠܡܠܟܡܠܟܘܬܗ̇,ܒܐܒܝܪܚܐ܂,,ܒܐܒܝܪܚܐ܂,ܒܝܪܚܐ܂܂ܐܒ܂܂
,ܘܐܢܐܐܥܠܟ,,ܘܐܢܐܐܥܠܟ,ܘܐܢܐܐܥܠܟ
,ܠܢܝܢܘ̈ܐ܂,,ܠܢܝܢܘ̈ܐ܂,ܠܢܝܢܘܐ܂
,ܘܬܐܚܘܕܒܗܡܠܟܘܬܐ,,ܘܬܐܚܘܕܒܗܡܠܟܘܬܐ,ܘܬܐܚܘܕܒܗܡܠܟܘܬܐ
ܕܠܐ,ܕܠܐ,,ܕܠܐ,ܕܠܐ
ܩܐܪܣܐܘܕܠܐܥܡܠܐ܂,ܩܪܒ݁ܐ܂,,ܩܪܒܐ܂,ܩܪܒܐ܂
ܘܕܡܝ,ܘܕܡܝ,,ܘܕܡܝ,ܘܕܡܝ
ܟܝܪܬܐܝܕܗܠܕܝܠܝ܂ܘܚܬܡ,ܐܢ̈ܝܢܠܟܬܝ̈ܒܬܝܒܐܝ̈ܕܝ,,,
,ܘܛܒܥ,,,
,ܐܢܝ̈ܢ,,ܐܢܝ̈ܢ,ܐܢܝ̈ܢ
,ܒܥܙ̈ܩܬܝܕܝܠܝܘܫܕܐܐܢܝ̈ܢ,,ܟܬܝܒ̈ܬܐܠܟܬܝܒ̈ܬܝ,ܟܬ̈ܝܒܬܐܠܟܬܝܒܬ̈ܝ
,,,ܘܛܒܥ,ܘܛܒܥ
,,,ܐܢܝܢ,ܐܢܝܢ
,,,ܒܥܙܩ̈ܬܝ,ܒܥܙܩܬܝܕܝܠܝ
,,,ܘܫܕܪ,ܘܫܕܪ
,,,ܐܢܝ̈ܢ,ܐܢܝܢ
,ܒܚܕ,,ܒܚܕ,ܒܚܕ
,ܡ̣ܢ,,ܡܢ,ܡܢ
,ܬܘܢܘ̈ܗܝ,,ܬܘܢܘ̈ܗܝ,ܬܘܢܘ̈ܗܝ
,ܕܡܠܟܐܟܕܟܬܒܢܕܢ,,ܕܡܠܟܐ܂ܒܬܪܟܢ,ܕܡܠܟܐ܂ܒܬܪܟܢ
ܐܓܪ̈ܬܐ,ܐܓܪ̈ܬܐ,,,
ܒܚܬܡܗܘܐܪܡܝܐܢܝܢܒܒܝܬܡܠܟܐܐܝܟܢܐܕܢܬܚܙ̈ܝܢܡ̣ܢܐ̄ܢܫܝ̈,ܠܐܚܝܩܪܐܒܘܗܝܥܠܦܘܡ,,,
ܡܠܟܐ܂,ܡܠܟܐ܂,,,
ܘܟܬܒ,ܘܬܘܒ,,,
ܬܘܒ,,,ܬܘܒ,ܬܘܒ
,ܟܬܒ,,ܟܬܒ,ܟܬܒ
ܐܓܪܬܐ,ܐܓܪܬܐ,,ܐܓܪܬܐ,ܐܓܪܬܐ
