433,Sachau_336
ܒܝܬ,ܒܝܬ
ܒܟܝ̈,ܒܟ̈ܝ
ܥܕܠܐܐܡܘܬ܂ܘܥܒܕܝܠܚܡܐܠܢܒܘܣܡܟ,ܥܕܠܐܐܡܘܬ܂ܘܥܒܕܝܠܚܡܐܠܢܒܘܣܡܟ
ܡܣܟܢܐܟܢܬܝ܂ܘܠܦܪ̈ܬܘ̈ܝܐ,ܡܣܟܝܢܟܢ̈ܬܝ܂ܘܠܦܪ̈ܬܘܝܐ
ܕܥܡܗ܂,ܕܥܡܗ܂
ܘܦܘܩܝ,ܘܦܘܩ
ܠܐܘܪܥܗܘܢܘܐܥܠܝܐܢܘܢܠܒܝܬܝܕܐܦܐܢܐܐܥܘܠܥܡܗܘܢ,ܠܐܘܪܥܗܘܢܘܐܥܠܝܐܢܘܢܠܒܝܬܝܕܐܦܐܢܐܐܥܘܠܥܡܗܘܢ
ܠܒܝܬܝ,ܠܒܝܬܟ
ܐܝܟܐܪܚܐ܂ܟܕܢܦܩܬ,ܐܝܟܐܪܚܐ܂ܟܕܢܦܩܬ
ܐܫܦܓܢܝܐܢ̄ܬܬ,ܐܫܦܥܓܝܐܢَܬܬ
ܐܚܝܩܪܠܐܘܪܥܗ܂ܗܝܕܝܢ,ܐܚܝܩܪܠܐܘܪܥܗ܂ܗܝܕܝܢ
ܐܢ̄ܬܬܝ,ܐܢَܬܬَܟ
ܟܕ,ܟܕ
ܐܝܙ̈ܓܕܐ,ܠܐܝܙ̈ܓܕܐ
ܩܒܠܬܣܓܝ,ܩܒܠܬܣܓܝ
ܚܟܡ̱ܬܐܐܬܡܠܝܬ,ܚܟܡِܬܐܡܠܝܬ܂
ܘܟܠ,ܘܟܠ
ܕܫܠܚܬ,ܕܫܕܪܬ
ܠܗ,ܠܗ
ܥܒܕܬܘܠܐܘܪܥܗܘܢ,ܥܒܕܬ܂ܘܠܐܘܪܥِܗܘܢ
ܕܢܒܘܣܡܟ,ܕܢܒܘܣܡܟ
ܘܕܦܪ̈ܬܘܝܐ,ܘܦܪ̈ܬܘܝܐ
ܢܦܩܬ܂ܘܐܥܠܬܐܢܘܢܠܒܝܬܗ܂ܘܟܕܩܪܒܬ,ܢܦܩܬ܂ܘܐܥܠܬܐܢܘܢܠܒܝܬܗ܂ܘܟܕܩܪܒܬ
ܐܫܦܓܢܝ,ܐܫܦܥܓܝ
ܠܚܡܐܠܢܒܘܣܡܟܘܠܦܪ̈ܬܘܝܐܘܩܪܒܬܠܗܘܢܐܦ,ܠܚܡܐܠܢܒܘܣܡܟܘܠܦܪ̈ܬܘܝܐܘܩܪܒܬܠܗܘܢܐܦ
ܚܡܪܐ,ܚܡܪܐ܂
ܘܡܙܓܬ,ܘܡܙܓܬ
ܠܗܘܢ܂,ܒܗܘܢ
ܘܗܝ,ܘܗܝ
ܐܫܦܓܢܝ,ܐܫܦܥܓܝ
ܡܫܡܫܐ,ܡܫܡܫܐ
ܗ̄ܘܬ,ܗَܘܬ
ܠܗܘܢܥܕܡܐܕܪܘܝܘܟܠܗܘܢܘܕܡܟܘ܂,ܠܗܘܢܥܕܡܐܕܪܘܝܘܟܠܗܘܢܘܕܡܟܘ܂
ܘܟܕ,ܟܕܪܘܝܘ
ܦܪ̈ܬܘܝܐܡܢܚܡܪܐ܂ܗܝܕܝܢܐܬܛܒܥܘ,ܦܪ̈ܬܘܝܐܡܢܚܡܪܐ܂ܗܝܕܝܢܐܬܛܒܥܘ
,ܐܬܛܒܥܘ
ܒܫܢܬܐ,ܒܫܢܬܐ
ܝܩܝܪܬܐ܂,ܝܩܝܪܬܐً
ܘܟܠܚܕ,ܘܟܠܚܕ
ܚܕ,
ܡܢܗܘܢܒܕܘܟܬܗ,ܡܢܗܘܢܒܕܘܟܬܗ
ܕܡܟܘ,ܕܡܟ܂
ܫܒܚܬܠܐܠܗܐܡܪܗܕܫܡܝܐ,ܫܒܚܬܠܐܠܗܐܡܪܗܕܫܡܝܐ
ܘܕܐܪܥܐ,ܘܕܐܪܥܐ܂
ܥܠܟܠ,ܥܠܟܠ
ܕܗܘܐ܂,ܕܗܘܐ
ܘܐܡܪܬ,ܘܐܡܪܬ
ܐܘܢ,ܩܘܢ
ܐܠܗܐܦܪܘܩܗ,ܐܠܗܐܦܪܘܩܗ
ܕܥܠܡܐ܂ܐܢ̄ܬܝܕܥܐܢ̄ܬ,ܕܥܠܡܐܐܢَܬܝܕܥܬܐܢَܬ
ܟܠܕܗܘܐܘܕܗܘܐ܂,ܟܠܕܗܘܐܘܕܗܘܐ܂
ܐܢ̄ܬ,ܐܢَܬ
ܚܘܪܒܝܒܥܝܢܐܕܪ̈ܚܡܐܩܕܡܢܒܘܣܡܟ܂,ܚܘܪܒܝܒܥܝܢܐܕܪ̈ܚܡܐܩܕܡܢܒܘܣܡܟ܂
,ܟܕܬܒܥܐܚܝܩܪܡܢܢܒܘܣܡܟ
ܕܠܐ,ܕܠܐ
ܢܬܩܛܠ,ܢܬܩܛܠ܂
ܗܝܕܝܢ,ܗܝܕܝܢ
ܐܢܐ,
ܐܚܝܩܪܟܕܚܙܝܬܗܟܢܐܥܢܝܬܘܐܡܪܬ,ܐܚܝܩܪܟܕܚܙܝܬܗܟܢܐܥܢܝܬܘܐܡܪܬ
ܠܢܒܘܣܡܟ܂,ܠܢܒܘܣܡܟ
ܐܪܝܡ,ܐܪܝܡ
ܥܝܢ̈ܝܟ,ܥܝܢܝܟ̈
ܠܫܡܝܐ,ܠܫܡܝܐ
,ܐܘ
ܢܒܘܣܡܟܘܚܙܝܠܐܠܗܐ܂ܘܐܬܕܟܪ,ܢܒܘܣܡܟܘܚܙܝܠܐܠܗܐ܂ܘܐܬܕܟܪ
ܡܠܚܐܘܠܚܡܐ,ܠܚܡܐܘܡܠܚܐ
ܕܐܟܠܢܥܡܚ̈ܕܕܐ܂ܘܠܐܬܚܫܘܒܒܡܘܬܝ܂,ܕܐܟܠܢܥܡܚ̈ܕܕܐ܂ܘܠܐܬܚܫܘܒܒܡܘܬܝ܂
ܘܐܬܥܗ̄ܕ,ܘܐܬܥܗܕ
ܕܐܦܠܟ,ܕܐܦܠܟ
ܐܫܠ̱ܡܟ,ܐܫܠܡܟ
ܐܒܘܗܝܕܡܪܝܡܠܟܐ,ܐܒܘܗܝܕܡܪܝܡܠܟܐ
ܒܐܝܕ̈ܝ,ܒܐܝܕܝ̈
ܕܐܩܛܠܟܘܠܐ,ܕܐܩܛܠܟܘܠܐ
ܩܛܠܬܟ܂,ܩܛܠܬܟ
ܡܛܠܕܝܕܥܬܕܠܝܬ,ܡܛܠܕܝܕܥܬܕܠܝܬ
ܗ̄ܘܐܠܟܣܟܠܘܬܐ܂,ܗَܘܐܣܟܠܘܬܐ
ܐܠܐܢܛܪܬܟܒܚܝ̈ܐܥܕܡܐܕܗܘܡܠܟܐܒܥܟ܂ܡܘܗ̈ܒܬܐ,ܐܠܐܢܛܪܬܟܒܚܝ̈ܐܥܕܡܐܕܗܘܡܠܟܐܒܥܟ܂ܡܘܗ̈ܒܬܐ
ܣܓܝܐ̈ܬܐܝܗ̄ܒܗ̄ܘܐ,ܣܓܝ̈ܐܬܐܝܗܒܗَܘܐ
ܠܝ܂,ܠܝ܂
ܐܢ̄ܬ,ܐܢَܬ
ܗܫܐ,ܗܫܐ
ܛܪܝܢܝ܂,ܛܪܥܝ܂
ܕܠܐܬܪܗܛܠܗ,ܕܠܐܬܪܗܛܠܗ
ܠܡܠܬܐ܂,ܡܠܬܐ܂
ܘܢܐܡܪܕܠܐܐܬܩܛܠ܂ܐܠܐܗܐܟܕܐܝܬܠܝܒܝܬܐܣܝܪ̈ܐܕܝܠܝܚܕܓܒܪܐ,ܘܢܐܡܪܕܠܐܐܬܩܛܠ܂ܐܠܐܗܐܟܕܐܝܬܠܝܒܝܬܐܣܝܪ̈ܐܕܝܠܝܚܕܓܒܪܐ
ܫܘܐ,ܫܩܐ
ܠܡܘܬܐ܂ܣܒ,ܠܡܘܬܐ܂ܣܒ
ܠܒܘܫ̈ܝܐܠܒܫܝܗܝ܂,ܠܒܘܫܝ̈܂ܘܐܠܒܫܝܗܝ܂
ܘܐܥܝܪܥܠܘܗܝܦܪ̈ܬܘܝܐ,ܘܐܥܝܪܥܠܘܗܝܦܪ̈ܬܘܝܐ
ܕܢܩܛܠܘܢܝܗܝ܂ܟܕ,ܕܢܩܛܠܘܢܝܗܝܘܟܕ
ܐܬܩܛܠܓܒܪܐܘܐܥܝܪܥܠܘܗܝ,ܐܬܩܛܠܓܒܪܐܘܐܥܝܪܥܠܘܗܝ
ܦܪ̈ܬܘܝܐ܂,ܦܪܬܘܢܐ܂
ܘܒܝܕ,ܘܒܝܕ
ܪܘܝܘܬܗܘܢ,ܪܘܝ̈ܘܬܗܘܢ
ܩܛܠܘܗܝܠܗܘܓܒܪܐܘܢܦܩ,ܩܛܠܘܗܝܠܗܘܓܒܪܐܘܢܦܩ
ܛܒܐ܂,ܛܒܐ
ܒܐܬܘܪ,ܒܐܬܘܪ
ܘܢܝܢܘܐ,ܘܒܢܝܢ̈ܘܐ
ܕܐܚܝܩܪܐܬܩܛܠ܂ܐܬܛܫܝܐܚܝܩܪܣܦܪܐ܂ܗܝܕܝܢܩܡܢܒܘܣܡܟ,ܕܐܚܝܩܪܐܬܩܛܠ܂ܐܬܛܫܝܐܚܝܩܪܣܦܪܐ܂ܗܝܕܝܢܩܡܢܒܘܣܡܟ
ܘܐܫܦܓܢܝܐܢ̄ܬܬܝܡܛܫܝܢܐ,ܘܐܫܦܥܓܢܝܐܢَܬܬܝ܂ܘܥܒܕܠܝܡܛܫܝܐ
ܒܓܘܐܪܥܐ܂ܦܬܝܗ,ܒܓܘܐܪܥܐ܂ܦܬܝܗ
ܐܡܝ̈ܢܬܠܬ,ܐܡܝܢܬܠܬ܂
ܘܐܘܪܟܗ,ܘܐܘܪܟܗ
ܐܡ̈ܝܢ,ܐܡܝܢ
ܐܪܒܥ܂,ܐܪܒܥ܂
ܘܪܘܡܗ,ܘܥܘܡܩܗ
ܐܡ̈ܝܢ,ܐܡ̈ܝܢ
ܚܡܫ܂ܬܚܝܬܐܣܟܘܦܬܐܕܬܪܥܐܕܒܝܬܐ܂,ܚܡܫܐ܂
ܘܣܡܘܠܝܠܚܡܐܘܡܝ̈ܐ܂ܘܐܙܠܘܘܚܘܝܘܠܡܪܝ,ܘܣܡܘܠܝܠܚܡܐܘܡܝ̈ܐ܂ܘܐܙܠܘܘܚܘܝܘܠܡܪܝ
ܡܠܟܐ,ܡܠܟܐ܂
ܕܐܚܝܩܪܐܬܩܛܠܠܗ܂ܘܗܟܢܐ,ܕܐܚܝܩܪܐܬܩܛܠܠܗ܂ܘܗܟܢܐ
ܡܬܐ̱ܡܪ,ܘܗܟܢܐܡܬܐِܡܪ
ܡܢܡܠܟܐ܂,ܡܢܡܠܟܐ܂
ܚܒ̈ܠܟ,ܚܒܠܝ̈ܟ
ܐܚܝܩܪ,ܐܚܝܩܪ
,ܢܦܠܘܥܠܝ܂
ܣܦܪܐ,ܣܦܪܐ
ܘܚܟܝܡܐ܂,ܘܚܟܝܡܐ
ܣܐܓ,ܣܐܓ
ܬܘܪܥ̱ܬܐܕܡܕܝܢ̄ܬܐ,ܬܘܪܥܬܐܕܡܕܝܢَܬܐ܂ܕܒܡ̈ܠܝܛܠܝܐܐܘܒܕܬܟ܂ܟܕܦܩܕܡܠܟܐܠܢܕܢ
ܕܢܥܒܕܠܝܒܝܬ,ܕܢܥܒܕܠܝܒܝܬ
ܒܟ̈ܐ܂,ܒܟܐܘܐܠܝܐ܂
ܗܝܕܝܢ,ܗܝܕܝܢ
,ܩܪܐ
ܩܪܐܡܠܟܐܠܢܕܢܒܪܝܘܐܡܪܠܗ܂ܙܠܥܒܕܒܝܬܒܟܐ,ܩܪܐܡܠܟܐܠܢܕܢܒܪܝܘܐܡܪܠܗ܂ܙܠܥܒܕܒܝܬܒܟܐ
,ܠܐܒܘܟ܂ܘܐܬܐܢܕܢܒܪܝܠܒܝܬܝ܂ܘܠܐܒܝܬܒܟܐ܂
ܥܒܕܠܝܘܠܐܥܗܕܢܝ܂ܐܠܐܟܢܫܢܫ̈ܐܦܚܙ̈ܬܐܘܐܣܡܟ,ܥܒܕܠܝܘܠܐܥܗܕܢܝ܂ܐܠܐܟܢܫܢܫ̈ܐܦܚܙ̈ܬܐܘܐܣܡܟ
ܐܢܘܢ,ܐܢܝܢ
ܒܙܡܪܐܘܚܕܘܬܐܠܡܐܟܠ,ܒܙܡܪܐܘܚܕܘܬܐܠܡܐܟܠ
ܘܠܡܫܬܐܘܠܥܫ̈ܕܝܘܠܐܡܗ̈ܬܝܡܫܠܚܘܡܢܓܕ,ܘܠܡܫܬܐ܂ܘܠܥܒ̈ܕܝܘܠܐܡܗ̈ܘܝܩܛܠ܂ܘܫܠܚܘܡܫܓܕ
ܠܗܘܢ܂ܘܐܦܠܐܡܢ,ܠܗܘܢ܂ܘܐܦܠܐܡܢ
ܡܢܐܢܬܬܝ,ܐܢَܬܬܟ܂
ܒܗܬ,ܒܗܬ
,ܕܝܢ
ܕܗܝܕܒܝܬܗ܂,ܕܗܝܕܒܝܬܗ܂
ܕܒܥܐ,ܒܥܐ
ܡܢܗܨܒܘܬܐ,ܡܢܗܨܒܘܬܐ
ܕܓܘܪܐ,ܕܓܘܪܐ܂ܘܙܢܝܘܬܐ
ܠܡܣܥܪܥܡܗ܂ܟܕܩܪܒܨܠܘܬܐܐܚܝܩܪ,ܠܡܣܥܪܥܡܗ܂ܟܕܩܪܒܨܠܘܬܐܐܚܝܩܪ
ܠܐܠܗܐ,ܠܐܠܗܐ܂
ܒܓܘܓܘܒܐܚܫܘܟܐ܂ܘܫܡܥܢܐܩܠ,ܒܓܘܓܘܒܐܚܫܘܟܐ܂ܘܫܡܥܢܐܩܠ
ܢܚܬܘ̈ܡܝܘܒܛܒܚ̈ܝ,ܢܚܬܘܡ̈ܝܘܛܒܚܝ̈
ܘܐܦ,ܘܐܦ
ܫܩܘ̈ܬܝ,ܫܩܘ̈ܬܝ܂
ܟܕ,ܟܕ
ܡܒܓܢܝܢܘܒܟܝܢ,ܡܒܓܥܝܢܘܒܟܝܢ܂
ܘܠܚܝܥܠܡ̈ܐܨܠܘܬܐܩܪܒܬܕܠܐܫܠܘܐ܂ܒܬܪ,ܘܠܚܝܥܠܡ̈ܐܨܠܘܬܐܩܪܒܬܕܠܐܫܠܘܐ܂ܒܬܪ
ܝܘ̈ܡܬܐ,ܝܩܡ̈ܬܐ܂
ܐܬܐܢܒܘܣܡܟ܂ܦܬܚܒܐܦܝ̈,ܐܬܐܢܒܘܣܡܟ܂ܦܬܚܒܐܦܝ̈
ܘܣܡ,ܕܣܡ
ܠܝܠܚܡܐ,ܠܝܠܚܡܐ
ܘܡ̈ܝܐ܂,ܘܡܝ̈ܐ܂
ܘܐܢܐܐܡܪܬ,ܘܐܢܐܐܡܪܬ
ܠܗܣܐ,ܠܗܕܐ
ܕܐܬܕܟܪܝܢܝܩܕܡܡܠܟܐ܂ܘܐܝܟܕܡܢܝܚܙܐܐܡܪܠܗ܂ܐܘܢܡܪܝܐܐܠܗܐ܂ܙܕܝܩܐܘܛܒܐܒܫܡܝܐ,ܕܐܬܕܟܪܝܢܝܩܕܡܡܠܟܐ܂ܘܐܝܟܕܡܢܝܚܙܐܐܡܪܠܗ܂ܐܘܢܡܪܝܐܐܠܗܐ܂ܙܕܝܩܐܘܛܒܐܒܫܡܝܐ
ܘܒܐܪܥܐ܂ܠܐܗܐ,ܘܐܪܥܐ܂ܗܫܐ
ܐܚܝܩܪܕܓܘܣܐ,ܐܚܝܩܪܕܓܘܣܐ
ܐܚܝܕܗ̄ܘܐ,ܐܚܝܗَܘܐܗَܘܐ
ܒܟ܂ܘܡܕܒܚ,ܒܟ܂ܘܡܕܒܚ
ܗ̄ܘܐ,ܗَܘܐ
ܠܟܬܘܪ̈ܐ,ܠܟܬܘܪ̈ܐ
ܡܦܛܡ̈ܐ܂,ܡܦܛܡ̈ܐ
ܘܗܐ,ܘܗܐ
ܪܡܐ,ܪܡܙ
ܒܓܘܒܐܚܫܘܟܐ܂ܐܬܪܕܢܘܗܪܐ,ܒܓܘܒܐܚܫܘܟܐ܂ܐܬܪܕܢܘܗܪܐ
ܠܐ,ܕܠܐ
ܢܦܠܥܠܘܗܝ܂ܫܡܥܡܪܝܐܒܩܠܗ,ܢܦܠܥܠܘܗܝ܂ܫܡܥܡܪܝܐܒܩܠܗ
ܕܥܒܕܟ,ܕܥܒܕܟ܂
ܘܐܬܪܚܡ,ܘܐܬܪܚܡ
ܥܠܘܗܝ,ܥܠܘܗܝ܀܀[Ornament]
܀܀܀܀܀,
ܗܕܐܐܓܪܬܐܕܫܕܪܦܪܥܘܢܡܠܟܐܕܡܨܪܝܢܠܣܪܚܕܘܡܡܠܟܐܕܐܬܘܪ,ܗܕܐܐܓܪܬܐܕܫܕܪܦܪܥܘܢܡܠܟܐܕܡܨܪܝܢܠܣܪܚܕܘܡܡܠܟܐܕܐܬܘܪ
ܘܕܢܝܢܘܐܗܝܕܝܢܦܪܥܘܢܡܠܟܐ܂,ܘܕܢܝܢܘ̈ܐ
,܀܀܀܀܀
,ܗܝܕܝܝܢܡܠܟܐ
ܕܡܨܪܝܢܟܕܫܡܥܕܐܢܐܐܚܝܩܪ,ܕܡܨܪܝܢܟܕܫܡܥܕܐܢܐܐܚܝܩܪ
ܐܬܩܛܠܬ܂,ܐܬܩܛܠܬ
ܒܚܕܘܬܐܪܒܬܐ,ܒܚܕܘܬܐܪܒܬܐ
ܗܘܐ܂,ܗَܘܐ܂
ܘܫܕܪܐܓܪܬܐܠܘܬܣܪܚܕܘܡܡܠܟܐ,ܘܫܕܪܐܓܪܬܐܠܘܬܣܪܚܕܘܡܡܠܟܐ
ܕܢܒܘܣܡܟ,ܕܡܨܪܝܢ
ܠܣܪܚܕܘܡܡܠܟܐ,ܠܣܪܚܕܘܡܡܠܟܐ
ܕܐܬܘܪܘܕܢܝܢܘܐܫܠܡ܀,ܕܐܬܘܪ܁ܘܕܢܝܢ̈ܘܐ܂ܫܠܡ܆
ܟܕܩܒܠܣܪܚܕܘܡܠܐܝܙ̈ܓܕܐܕܦܪܥܘܢܥܡܐܓܪܬܗ,ܟܕܩܒܠܣܪܚܕܘܡܠܐܝܙ̈ܓܕܐܕܦܪܥܘܢܥܡܐܓܪܬܗ
ܘܩܪܗ܂ܒܝܪܬܐ,ܘܩܪܗܒܝܬܐ
ܚܕܐܐܝܬܠܝܕܐܒܢܐ,ܚܕܐܐܝܬܠܝܕܐܒܢܐ
,ܠܝ
ܒܝܬܫܡܝܐܠܐܪܥܐ܂ܚܙܝܫܕܪܠܝܓܒܪܐܚܟܝܡܐ,ܒܝܬܫܡܝܐܠܐܪܥܐ܂ܚܙܝܫܕܪܠܝܓܒܪܐܚܟܝܡܐ
ܐܪܕܟܠܐܥܠܟܠܡܕܡܕܐܫܐ̱ܠܝܘܗܝ,ܐܪܕܟܠܐ܂ܕܥܠܟܠܡܕܡܐܫܠِܡܗ܂ܘܐܫܠِܝܘܗܝ
ܦܬܓܡܐܢܬܠܠܝ܂ܐܢܗܘܕܝܢܕܡܫܕܪܬܠܝܓܒܪܐ,ܦܬܓܡܐܢܬܠܠܝ܂ܐܢܗܘܕܝܢܕܡܫܕܪܬܠܝܓܒܪܐ
ܕܟܠܡܕܡܕܐܡܪ,ܕܟܠܡܕܡܕܐܡܪܬ
ܢܥܒܕ܂ܐܓܒܐܘܐܫܕܪܠܟ,ܢܥܒܕ܂ܐܓܒܐܘܐܫܕܪܠܟ
ܒܐܝܕܘ̈ܗܝܡܕܐܬܐ,ܒܐܝܕܘܗ̈ܝܡܕܐَܬܐ
ܕܡܨܪܝܢܕܬܠܬܫܢܝ̈ܢ܂,ܕܡܨܪܝܢܕܬܠܬܫܢܝ̈ܢ܂
ܐܢܕܝܢ,ܐܢܕܝܢ
ܠܐܬܫܕܪܠܝܓܒܪܐܕܡܕܡܕܐܡܪܢܐ,ܠܐܬܫܕܪܠܝܓܒܪܐܕܡܕܡܕܐܡܪܢܐ
ܠܐܢܥܒܕ܂,ܘܠܐܡܨܐܕܢܥܒܕ܂
ܓܒܝܘܫܕܪܠܝܐܝܙܓܕܐ,ܓܒܝܘܫܕܪܠܝܐܝܙܓܕܐ
ܗܢܐܘܡܕܐܬܐ,ܕܫܕܪܬܘܥܡܗܡܕܐܬܐ
ܕܐܬܘܪ,ܕܐܬܘܪ
ܘܕܢܝܢܘܐ,ܘܢܝܢܘܐ܂
ܕܬܠܬܫܢܝ̈ܢ܂ܟܕܟܢܫܣܪܚܕܘܡܡܠܟܐܠܟܠܗܘܢܚܐܪ̈ܐܕܡܠܟܘܬܗܘܚܘܝ,ܕܬܠܬܫܢܝ̈ܢ܂ܟܕܟܢܫܣܪܚܕܘܡܡܠܟܐܠܟܠܗܘܢܚܐܪ̈ܐܕܡܠܟܘܬܗܘܚܘܝ
ܠܗܘܢ,ܠܗܘܢ܂
ܡܛܠܐܓܪܬܐ,ܡܛܠܐܓܪܬܐ
ܗܕܐܕܦܪܥܘܢ,ܕܦܪܥܘܢ܂
ܟܕܕܝܢܐܓܪܬܐܗܕܐ,ܟܕܕܝܢܐܓܪܬܐܗܕܐ
,ܐܬܩܪܝܬ
ܩܕܡ,ܩܕܡ
ܡܠܟܐܐܬܩܪܝܬ܂,ܡܠܟܐ܂
ܫܕܪܟܢܫ,ܫܕܪܟܢܫ
ܠܟܠܗܘܢܚܐܪ̈ܐ,ܠܫܪܟܐܕܚܐܪ̈ܐ
ܘܚܟܝܡ̈ܐ,ܘܚܟܝܡ̈ܐ
ܕܡܠܟܘܬܗ,ܘܡܓܘܫ̈ܐܘܝܕܘ̈ܥܐܕܡܠܟܘܬܗ܂
ܘܐܡܪܐܝܢܐܡܢܟܘܢ,ܘܐܡܪܐܝܢܐܡܢܟܘܢ
ܐܐܙܠ,ܢܐܙܠ
ܠܡܨܪܝܢ܂ܘܦܬܓܡܐܢܬܠ,ܠܡܨܪܝܢ܂ܘܦܬܓܡܐܢܬܠ
ܠܦܪܥܘܢ,ܠܦܪܥܘܢ܂
ܟܕܦܢܝܘ,ܟܕܦܢܝܘ
ܚܐܪ̈ܐܦܬܓܡܐܢܬܠܐܡܪܝܢ,ܝܕܥܬܡܪܝܡܠܟܐ܂ܕܨܒܘ̈ܬܐ
ܟܠܗܘܢܝܕܥܬ,ܟܠܗܘܢܝܕܥܬ
ܡܪܢ,ܡܪܝ
ܡܠܟܐ܂ܕܨܒܘ̈ܬܐܕܐܝܟܗܠܝܢ,ܡܠܟܐ܂ܕܨܒܘ̈ܬܐܕܐܝܟܗܠܝܢ
ܒܝܘ̈ܡܝܟܘܒܝܘܡܝ̈ܐܒܘܟ,ܒܝܘܡ̈ܝܟܘܒܝܘܡܝܐܒܘܟ܂
ܐܚܝܩܪܣܦܪܐܫܪܐ,ܐܚܝܩܪܣܦܪܐܫܪܐ
ܗ̄ܘܐܠܗܝܢ܂ܐܦ,ܗَܘܐܠܗܘܢ܂ܘܐܦ
ܗܫܐܢܕܢ,ܗܫܐܢܕܢ
ܒܪܗܗܘ,ܒܪܗ܂ܕܗܘ
ܝܠܦܣܦܪܐܕܝܠܗ܂ܗܘ,ܝܠܦܣܦܪܐܕܝܠܗ܂ܗܘ
ܕܚܟܡ̱ܬܗ,ܕܚܟܡِܬܗ
ܝܕܥ܂ܗܘ,ܝܕܥ܂ܗܘ
ܢܐܙܠ,ܐܙܠ
ܢܫܪܐܠܨܒܘܬܐܗܕܐ܂ܟܕ,ܢܫܪܐܠܨܒܘܬܐܗܕܐ܂ܟܕ
ܩܪܒ,ܩܪܐ
ܢܕܢܩܕܡܡܠܟܐܘܫܡܥܩܠܗ܂ܗܝܕܝܢܟܕܢܕܢ,ܢܕܢܩܕܡܡܠܟܐܘܫܡܥܩܠܗ܂ܗܝܕܝܢܟܕܢܕܢ
ܡ̈ܠܐܗܠܝܢܫܡܥ܂,ܫܡܥܡܠ̈ܐܗܠܝܢ܂ܩܥܐ
ܩܥܐܒܩܠܐܪܡܐܩܕܡܡܠܟܐ܂ܘܐܡܪ,ܩܥܐܒܩܠܐܪܡܐܩܕܡܡܠܟܐ܂ܘܐܡܪ
ܠܡܠܟܐ܂,ܠܡܠܟܐ
ܐܠܗ̈ܐܠܐܡܫܟܚܝܢܠܡܥܒܕܨܒܘ̈ܬܐ,ܐܠܗ̈ܐܠܐܡܫܟܚܝܢܠܡܥܒܕܨܒܘ̈ܬܐ
ܘܕܐܝܟܗܠܝܢ,ܕܕܐܝܟܗܠܝܢ܂
ܐܝܟܢܐ,ܐܝܟܢܐ
ܒܢܝܢ̈ܫܐ܂,ܒܢܝܢܫ̈ܐܡܨܝܢ܂
ܘܟܕܗܠܝܢܫܡܥܡܠܟܐ܂ܣܓܝܩܨܦܘܟܪܝܬ,ܘܟܕܗܠܝܢܫܡܥܡܠܟܐ܂ܣܓܝܩܨܦܘܟܪܝܬ
ܠܗ,ܠܗ܂
ܘܢܚܬܡܢ,ܘܢܚܬܡܢ
ܟܘܪܣܝܗ܂,ܟܘܪܣܝܗ
ܘܥܠܣܩܐ,ܘܥܠܣܩܐ
ܝܬܒ܂ܘܒܟܐ,ܝܬܒܘܒܟܐ܂
ܘܟܕܒܟܐܘܗܟܢܐܐܡܪ,ܘܟܕܒܟܐܘܗܟܢܐܐܡܪ
ܗ̄ܘܐ܂,ܗَܘܐ܂
ܚܒܠܟܐܚܝܩܪܣܦܪܐ,ܚܒܠܟܐܚܝܩܪܣܦܪܐ
ܚܟܝܡܐ܂,ܡܗܝܪܐ܂
ܕܒܡ̈ܠܝܛܠܝܐ,ܕܒܡ̈ܠܝܛܠܝܐ
ܐܘܒܕܬܟ܂ܘܐ̄ܢܬ,ܐܘܒܕܬܟ܂ܘܐَܢܫ
ܐܟܘܬܟ,ܐܟܘܬܟ
,ܕܕܡܐܠܟ܂
ܠܝܬܠܝ,ܠܝܬܠܝ
,ܕܝܢ܂
ܡܢܕܝܢ,ܡܢܕܝܢ
ܕܝܗ̄ܒܟ,ܝܗَܒܟ
ܠܝ,ܠܝ
ܝܘܢܐ܂ܘܦܪܩܬܟ,ܝܘܡܢܐ܂ܘܬܩܠܢܐ
ܒܡܬܩܠܟܕܗܒܐ܂,ܒܡܬܩܠܟܕܗܒܐ܂
ܟܕܐܘܕܥ,ܘܟܕܒܥܐ
ܢܒܘܣܡܟ,ܢܒܘܣܡܟ
,ܕܢܘܕܥ
ܠܡܠܟܐܡܛܠܐܚܝܩܪܣܦܪܐ܂ܗܝܕܝܢܟܕܫܡܥܢܒܘܣܡܟܡ̈ܠܐܕܐܝܟ,ܠܡܠܟܐܡܛܠܐܚܝܩܪܣܦܪܐ܂ܗܝܕܝܢܟܕܫܡܥܢܒܘܣܡܟܡ̈ܠܐܕܐܝܟ
ܗܠܝܢ,ܗܠܝܢ܂
ܡܢ,ܡܢ
ܡܠܟܐ܂,ܡܠܟܐ
ܢܦܠܥܠ,ܢܦܠܥܠ
ܐܦܘܗ̈ܝ,ܐܪܥܐ܂
ܘܣܓܕܘܐܡܪ,ܘܣܓܕܘܐܡܪ
ܠܡܠܟܐ܂,ܡܠܟܐ
