433,Sachau 336
ܠܡܐܟܠ܂ܘܗܫܐܦܚܐܕܒܩܬܘܐܚܕܬܠܨܦܪܐ,ܕܠܩܛܠܗ܂ܒܗܝܫܥܬܐܐܚܕܬܗ
ܒܩܕܠܗ܂,ܒܩܕܠܗ܂
ܥܢܐ,ܘܥܢܐ
ܨܦܪܐܘܐܡܪܠܦܚܐ܂ܐܢ,ܨܦܪܐܘܐܡܪܠܦܚܐ܂ܐܢ
ܐܝܬܘܘܗܝ,ܐܝܬܘܗܝ
ܗܢܐ,ܗܢܐ
ܠܚܡܐܕܦܦܢ̈ܐ܂,ܨܘܡܟܝܘܨܠܘܬܟܝܥܠܗܢܐܠܚܡܐ܂
ܐܠܗܐܠܐܡܩܒܠ,ܐܠܗܐܠܐܡܩܒܠ
ܠܐܨܘܡܟܘܠܐܨܠܘ̈ܬܟܘܠܐܙܕܩ̈ܬܟ,ܨܘܡܟܝܘܨܠܘܬܟܝܘܨܠܘܬܟܝ܂
ܘܠܐ,ܘܠܐ
ܛܒ̈ܬܟ܂ܐܢܗܘܕܗܢܐܨܘܡܟܘܨܠܘ̈ܬܟ܂,ܡܫܠܡ
ܐܠܗܐ,ܐܠܗܐ
ܠܐܢܫܠܡܥܡܟܒܛܒܬܐ܂ܐܘ,ܥܡܟܝܛܒܬܐ܀
ܒܪܝܗܘܝܬܠܝܐܝܟܩܠܡܐ,ܒܪܝܗܘܝܬܠܝܐܝܟܩܠܡܐ
ܕܬܗܘܐ,ܗܝܕܗܘܝܐ
ܒܓܘ,ܒܓܘ
ܚ̈ܛܐ܂ܘܗܝܠܐܚܫܚܐ,ܚ̈ܛܐ܀ܒܪܝܗܘܝܬ
ܠܡܕܡ܂ܘܬܚܒܠ,ܠܡܕܡ܂ܘܬܚܒܠ
ܠܚ̈ܛܐ܂ܐܘ,ܚ̈ܛܐ܀
ܒܪܝܗܘܝܬܠܝܐܝܟ,ܒܪܝܗܘܝܬܠܝܐܝܟ
ܒܪܢܫܐ,ܗܘܐَܢܫܐ
ܕܙܪܥ,ܕܙܪܥ
ܥܣܪܐ,ܥܣܪ
ܟܝ̈ܠܝܢ,ܟܝ̈ܠܝܢ
ܚ̈ܛܐܫܟܪܬܐ,ܚܛ̈ܐܐܫܟܪܐ܂
ܘܟܕ,ܘܟܕ
ܚܨܕܠܗܘܕܩܩܠܗ,ܡܛܐܚܨܕܐܘܚܨܕܗ܂ܘܕܩܕܩܗ܂
ܢܦܩܬ,ܢܦܩܬ
ܥܣܪܐܟܝ̈ܠܝܢ܂ܘܐܡܪ,ܥܣܪܟܝ̈ܠܝܢܚܛ̈ܐ܂ܒܪܡܐܡܪܗܘ
ܓܒܪܐ,ܓܒܪܐ
ܡܪܐܫܟܪܬܐ܂ܒܪܡܠܐܐܘܬܪܬܝ,ܠܐܫܟܪܐܗܝ܂ܡܛܠܡ̈ܢܠܐܝܬܪܬܝܠܝ
ܡܕܡ܂,ܡܕܡ܂
ܐܠܐܗܘܕܙܪܥܬܟܢܫܬ܂ܐܠܘܠܐ,ܐܢܐܟܪܒܬܟܝܘܬܢܝܬܝܟܝܘܙܪܥܬܟܝ܂ܟܕ
ܠܐ,ܠܐ
ܗܘܬ,ܒܪܝܬܝܗَܘܝܬܝ܂
ܘܠܐ,ܘܠܐ
ܢܒܥܬ܀ܐܘܒܪܝܗܘܝܬ,ܢܒܥܘܝܗَܘܝܬܝܛܒܠܝ܀ܒܪܝܗَܘܝܬ
ܠܝܐܝܟ,ܠܝܐܝܟ
ܐܣܪܐܕܚܗܠܐ܂ܗܘܕܠܐܡܫܟܚܡܦܨ,ܛܒܥܐܕܡܬܥܪܩܠܒܢܫܒܐ܂ܘܠܐܡܨܐܕܡܦܨܐ
ܢܦܫܗܡܢ,ܢܦܫܗܡܢ
ܨܝܕܐ܂ܗܘܕܒܩܠܗ,ܨܝܪܐ܂ܒܪܡܡܪܝܡܩܠܗ
ܚܠܝܐ,ܚܠܝܐ
ܘܒܣܝܡܐܡܟܢܫܚ̈ܓܠܐ,ܘܒܣܝܡܐ܂ܘܡܟܢܫܠܘܬܗܛܒܝ̈ܐܐܘܚܓ̈ܠܐ
ܣܓܝܐ̈ܐܠܘܬܗ,ܣܓܝܐ̈ܐܠܘܬܗ
ܥܕܡܐܕܢܨܘܕܘܢܐܟܘܬܗܐܘ,ܐܝܟܕܢܨܝܕܘܢܐܢܘܢ܀
ܒܪܝܗܘܝܬܠܝܐܝܟܟܠܒܐ,ܒܪܝܗܘܝܬܠܝܐܝܟܟܠܒܐ
ܗܘܕܡܢܩܘܪܫܗܥܠܠܒܝܬܒܢܐܕܢܫܚܢܕܢܗܘܐܬܡܢ܂ܘܥܕܡܐܕܫܚܢܫܬܩ܂ܘܟܕܫܚܢܫܪܝ,ܕܟܕܡܬܡܚِܠܡܢܩܘܪܫܐ܂ܥܪܩܘܐܙܠܕܢܛܫܐܢܦܫܗܠܘܬܐܦܝ̈ܐܘܟܕܛܫܝ܂ܒܥܐ
ܕܢܒܚ,ܕܢܒܚ
ܥܠܝܗܘܢܘܛܪܕܘܗܝܘܡܚܐܘܗܝܥܕܡܐܕܐܣܬܡܝ܂ܘܩܛܠܘܗܝ,ܘܢܪܬܠܗܘܢ܂ܒܪܡܗܢܘܢܡܚܝܢܠܗܘܗܘܢܒܚܘܗܢܘܢܕܚܠܝܢ
ܕܠܐ,ܕܠܐ
ܢܪܬ,ܢܬܬ
ܠܗܘܢ܂,ܠܗܘܢ܂
ܐܘܒܪܝܗܘܝܬܠܝ,ܘܩܛܠܝܢܠܗ܀ܒܪܝܗܘܝܬ
ܐܝܟܚܙܝܪܐܗܘܕܐܙܠܥܡ,ܐܝܟܚܙܝܪܐܗܘܕܐܙܠܥܡ
ܪܫܢܐܚܐܪ̈ܐ,ܪܘܪ̈ܒܢܐ
,ܕܢܣܚܐ܂
ܠܒܢ̈ܐ,
ܕܢܣܚܐ܂,
,ܘܟܕܡܛܐ
,ܠܒܢ̈ܐ
ܥܕܡܐܕܣܚܐ,
,ܣܚܐܥܡܗܘܢ܂ܘܟܕ
ܢܦܩܡܢ,ܢܦܩܡܢ
ܒܢ̈ܐ܂,ܒܢ̈ܐ
ܚܙܐ,ܚܙܐ
ܡܪܕܝܐܕܒܢܐܣܪܝܐ܂ܢܚܬ,ܣܝܢܐܬܡܢ܂
ܘܐܬܥܪܓܠ,ܘܐܬܥܪܓܠ
ܒܗ܀ܐܘܒܪܝܗܘܝܬ,ܒܓܘܗ܁ܨܒܪܝܗَܘܝܬ
ܠܝܐܝܟ,ܠܝܐܝܟ
ܩܕܣܐܕܥܒܕܘ,ܩܕܪܐܕܫܝܚܘܪܘܟܕܥܒܕ
ܠܗ,ܠܗ
ܩܕܫ̈ܐ,ܩܕܫܐ
ܕܕܗܒܐ,ܕܕܗܒܐ
ܒܓܘܐܕܢܘܗ̈ܝ܂ܘܚܙܐܐܢܘܢܡܢܫܘܚܪ̈ܐܘܨܐܬܐ܂ܘܠܐܡܬܕܟܐ܀ܐܘ,܀
ܒܪܝܗܘܝܬܠܝܐܝܟܬܝܫܐ,ܒܪܝܗܘܝܬܠܝܐܝܟܬܝܫܐ
ܕܥܢ̈ܐܗܘܕܡܥܠܚܒܪ̈ܘܗܝܬܝܫ̈ܐܠܘܬܛܒܚ̈ܐ,ܕܥܪ̈ܒܐܗܘܕܟܐܦܘܡܥܠܪܫܗܩܕܡܛܒܚܐܘܗܘ
ܘܗܘܠܐ,ܘܗܘܠܐ
ܦܪܩ,ܡܨܐܕܢܦܝܨܐ
ܢܦܫܗ,ܢܦܫܗ
ܢܟܣܬܐ܂ܐܘܒܪܝ,ܡܢܗ܀ܒܪܝ܆
ܟܠܒܐ,ܟܠܒܐ
ܗܘܕܠܐ,ܕܩܛܤܠܨܝܕܐ܂ܕܐܢܠܐܢܣܝܡܒܠܗܥܠܨܝܕܗܡܚܕܐ
ܐܟܠ,ܐܟܠ
ܡܢܨܝܕܘܗܝ܂ܡܐܟܘܠܬܐܠܕܐܒ̈ܐܨܐܕ܀ܒܪܝ,ܠܗܕܐܒܐ܀ܒܪܝ܆
ܐܝܕܐܕܠܐ,ܐܝܕܐܕܠܐ
ܦܠܚܐܘܬܗܘܐܟܫܝܪܬܐܡܢܟܬܦܗܬܬܦܫܚܘܬܬܦܣܩ܀ܐܘ,ܠܐܝܐܘܦܠܚܐܘܥܡܠܐ܂ܬܬܦܣܩܒܡܐܝܢܘܬܗ܆
ܒܪܝܥܝܢܐܕܠܐ,ܒܪܝܥܝܢܐܕܠܐ
ܡܬܚܙܐܒܗ,ܚܙܝܐ
ܢܘܗܪܐ܂,ܢܘܗܪܐ܂
ܥܘܪ̈ܒܐܢܕܩܪܘܢܗܘܢܚܝܨܘܢܗ܂ܐܘ,ܚܝܨܝܢܠܗ܀
ܒܪܝܐܢܐ,ܒܪܝܐܢܐ
ܚܘܝܬܟܐܦ̈ܐܕܡܠܟܐ,ܗܘܕܐܦܝ̈ܡܠܟܐܚܘܝܬܟ܂
ܘܥܠ,ܘܥܠ
ܐܝܩܪܐ,ܛܝܒܘܬܐܪܒܬܐ
ܡܛܝܬܟ܂ܘܐܠܦܬܟܘܪܒܝܬܟܘܥܒܕܬ,ܡܛܝܬܟ܂ܘܐܠܦܬܟܘܪܒܝܬܟܘܥܒܕܬ
ܥܡܟ,ܥܡܟ܂
ܟܠ,ܟܠ
ܛܒ̈ܢ܂ܘܐܢ̄ܬܒܡܢܐܦܪܥܬܢܝ܀ܐܘ,ܡܕܡܕܛܒ܂ܘܐܢَܬܡܢܐܦܪܥܬܠܝܘܡܙܕܩܐܢَܬܠܝ܀
ܒܪܝܗܘܝܬܠܝܐܝܟܐܝܠܢܐ,ܒܪܝܗܘܝܬܠܝܐܝܟܐܝܠܢܐ
ܗܘܕܐܡܪܬܠܗܢܘܢܕܐܬܘܕܢܦܣܩܘܢܗ܂ܐܘܗܐܠܘܠܐܗ̄ܘܬܐܝܕܟܘܢܡܢܝܘܚܝܠܝ܂,ܕܦܩܕܘܥܠܝܗܕܢܦܣܩܘܢܗ܀ܐܗܘܐܘܗܘܘܝ܂ܐܢܠܡ
ܠܐ,ܠܐ
ܡܫܟܚܝܢܗ̄ܘܝܬܘܢܥܠܝ܀ܒܪܝ,ܫܩܠܬܘܢܣܒܬܡܢܝ܂ܠܐܡܨܐܐܢَܬܥܠܝܟܠܗܙܒܢܐܕܚܝܝ̈ܟ܀܀܀ܐܚܕܐܘܐܪܘܙܒܟܐܘܒܪܝܘܬܬܪܘܚܢܦܫܝ܂
ܐܢܐܠܗ̈ܐܢܓܢܒܘܢܒܡܢܢܘܡܐܐܢܘܢ܂ܘܐܢ,ܐܢܐܠܗ̈ܐܢܓܢܒܘܢܒܡܢܢܘܡܐܐܢܘܢ܂ܘܐܢ
,ܬܓܢܘܒܐܪܥܐܐܝܟܐܐܝܟܐܬܐܡܐ܂ܐܢܐَܢܫ
ܢܓܢܘܒܐܪܥܐ,ܢܓܢܘܒܐܪܥܐ
ܐܝܟܢܐܙܠܐܟܠܠܗ܂ܐܢܐ,ܐܝܟܐܢܐܟܘܠܠܗ܀ܐܢܐ
ܒܪܝ,ܒܪܝ
ܐܦܝ̈ܡܠܟܐܘܪ̈ܘܪܒܢܐ,ܡܠܟܐܘܪܘܪ̈ܒܢܐ
ܚܘܝܬܟ,ܚܘܝܬܟ
ܘܠܐܝܩܪܐ,ܘܠܐܝܩܪܐ
ܪܒܐ,ܪܒܐ
ܡܛܝܬܟܘܐܢ̄ܬ,ܡܛܝܬܟ܂ܘܐܢَܬ
ܠܥܒ̈ܕܝܛܒ̈ܬܐܒܝܫ̈ܬܐܦܪܥܬ܂,ܠܥܒ̈ܕܝܛܒ̈ܬܐܒܝܫ̈ܬܐܦܪܥܬ܂
ܠܥܒ̈ܕܝܒܝܫ̈ܬܐܡܢܐܦܪܥܬ܇,ܘܠܥ̈ܒ̈ܕܝܛܒ̈ܬܐܦܪܥܐܢَܬ܂
ܗܘܝܬܠܝܒܪܝܐܝܟܟܟܘܫܬܐܕܐܡܪܝܢܠܗܫܒܘܩܝ,ܗܘܝܬܠܝܒܪܝܐܝܟܟܟܘܫܬܐܕܐܡܪܝܢܠܗܫܒܘܩܝ
ܓܘܢܒܝ̈ܟܝ܂ܘܗܘܝܬ,ܓܘܢܒܝܟ̈ܝܘܗܘܝܬܝ
ܥܐܠܐܘܢܦܩܐܐܝܟ,ܥܐܠܐܘܢܦܩܐܐܝܟ
ܕܨܒܝܐܢܦܫܟܝ܂,ܕܢܨܒܝܐܐܢَܬܝ
ܐܡܪܐܠܗܘܢܟܟܘܫܬܐ,ܐܡܪܐܠܗܘܢܟܟܘܫܬܐ
ܗܝ܂,ܗܕܐܗܝܨܢܥِܬܝ܆
ܐܢ,ܐܢ
ܢܗܘ̈ܝܢ,ܢܛܘ̈ܝܢ
ܠܝܥܝܢ̈ܐ,ܠܝܥܝܢ̈ܐ
