Brit_Libr_Or_9321,Brit_Mus_Add_7209,Cod_Arab_236,DFM_00614,Mingana_Syr_258,Sachau_290_Sachau_339,Vat_sir_159
فلم,فلم,,يثقبهاوهولم,,,فلم
تشعرالصخرة,يشعر,,يحس,,,يحس
بها,بها,,بها,,,بها
وضربتفضربتهابابرةفقالتالابرةللعقربهوذاحُمتي,وايضاضربت,,وقلتللأبره,,,وثمانضربهبالابرهفقلتالابره
,في,في,,,,
,الابره,ابره_,,,,
,فقالتلهاالابره,فقالتلهاالابره,,,,
,هاقد,هاقد,هاقد,,,هاقد
,ضربتيلمجعرهو,ظربتكيبشيًا,صارتزنابتي,,,صارتزنابتي
اشد,اشد,اشد,اشد,,,
قساوةمنسُمّكياابنيانّكقدصرتليكانسانيرفعحجارةويريدرجمالاله_وحجارتهلمتصلاليهفيربحلاجلذلكخطآءعظيمًا_ياابنيانّكقد,من,منكي_,من,,,
,مجعركيوايضاضربتالجملفيظلافهوكفّهفرفعراسهالىالسماوقاللهامثلنفسيتكوننفسكي,,زنابتكيياابني,,,
صرت,,,صرت,,,
لنفسككالعنزةالتى,,,ليمثلعنزةالتياكلتعرقالفوَّهقالتالفوَّهاليومكليوتنعميوغدايصبغونويدبغونجلدكيفيَّ,,,
,يا,يا,يا,,,يا
,بني,بني,ولدي,,,ابنى
,صرت,صرت,صرت,,,صرت
,لي,لي,لي,,,لى
,مثل,مثل,,,,مثل
,عنزه,عنزه_,,,,عنزةً
وقفت,اعنيغنمه,وقفت,,,,
,قامت,عليعرق,,,,قامت
على,على,,,,,على
حشيشةالفوّة_لتأكلمنهافقالتالفوّةللعنزةلماذاتاكلينمنّيلانّجلدكبي,حشيش,,,,,حشيش
,وعروقالفووهواكلتمنهم,الفوه_,,,,الفوه
يصبغونه_,,,,,,
فقالتالعنزةبحياتيانّيلآكلمنك_وبدمعروقكاصبغ,,وبقيتتاكل,,,,حتىياكل
,,منه_,,,,منه
,فقالت,فقالت,,,,فقالت
,الفووه,لهاالفوهلماداتاكلينني_,,,,الفوّه
,للعنزه,,,,,للعنزه
,لايشتاكليني,,,,,ليشتاكليمني
,لانجلدكي,لانجلدكي,,,,لانجلدكي
,,يسبغوه,,,,فىّيصبغوهثم
,في,في,,,,
,يصبغونه,,,,,
,,عرقي_فقالتلها,,,,
,قالت,,,,,قالت
,العنزه,العنزه_,,,,العنزه
,في,في,,,,للفوهفى
,حياتي,حياتي,,,,حياتي
,اكلمنكي,اكلكي_,,,,اكلمنكي
,وفيموتي,وفيموتي,,,,وفىمماتي
,يقلعونعروقكي,يقلعونعروقكي_,,,,يقلعونعروقكي
,ويصبغون,ويسبغونفيهم,,,,ويصبغون
جلدي_,جلدي,جلدي_,,,,جلدي
يابني,فيكي,يابني,,,,فكى
انّكقدصرتليكالرجلالذييشاهد,يا,صرتليَّمتل,,,,يا
,بني,,,,,ابنى
,صرت,,,,صرت,صرت
,لي,,,,لي,لى
,مثل,,,,مثل,مثل
,انسان,انسان_,انسان,,انسان,انسان
,,ياخد,أخذحجرورماهاإلى,,,اره
رفيقه,,,,,,رفيقه
يرتجف,,,,,,يرجف
منالبرد_,,,,,,منالبرد
فياخذمآءًويصبّه,,,,,,وثمياخذدلوماويسكب
علىراسه_,,,,,,علىراسه
اعلم,,,,,,
ياابني,,,,,,ياابني
فاذا,,,,,,صرتلىمثلرجلٍ
,اخذ,,,,اخذ,اخذ
,حجارةوالقا,حجاره,,,حجارةوالقا,حجاره
,الي,ويضرببهم,,,,حتى
,السماكي,السماء_,السماء,,السماكي,
,يرجمالله,فتعاودالحجارهعليه_ولايستفيدغير,ليرجمبهاربه,,يرجمالله_,يرجمالله
,فالحجر,,فالحجر,,واذالحجارة,فلحجر
,لم,,لم,,لم,لم
,تصل,,تصل,,تصل,يصلالى
,ويكتسب,,بلهو,,الىالسمافهو,
,,,,,,الله
,,,يكتسب,,يكتسب,وهويكسب
,الخطيه,,,,,
,,الخطيه_,,,,الخطيه
,,,ويكسبالأثموالخطيَّه,,الخطية,
,من,,,,,
,,,,,من,
,الله,,,,الله_,
,يابنيصرتليمثل,يابنيصرتليمثل,ياابنيصرتليمثل,,ياابنيصرتليمثل,
,رجل,رجل,رجل,,رجل,
,يبصر,يجد,بردوينظر,,يبصر,
,لرجلاخر,,,,رفيقهيرجفمنالبردفهوياخذدلوما,
,رفيقه,رفيقه,رفيقه,,,
,,عريان,عريان,,,
,يرجفمنالبرد,يرجفمنالبرد_,وهويرجفمنالبردوكانزمانالشتا,,,
,وياخذ,وياخد,وياخذ,,,
,دلو,دلو,دلو,,,
,ماي,ماء,ماء,,,
,,بارد,بارد,,بارد,
,ويسكب,ويسكبه,ويسكب,,ويصبه,
,عليه,عليه_,عليه,,عليه_,
,وياليت,وياليت,ياابني,,ياابني,
,يا,يا,لوكانوقرتنيوسمعتكلامي,,ليت,يا
,بني,بني,,,,ابنياذا
,,,كنتتقدرتقوم,,,
,وان,لو,,,لو,
,,,موضعي,,,
,كان,,وترثنيياابنيأعلموأعرفلو,,كان,
طال,قتلتني,قتلتني_,طال,,قتلتني,قتلتني
,كنتتقدرتقوم,كنتتقدرتقوم,,,كنتتقدرتقوم,كنتتقدرتقوم
,,مقامي_,,,,فى
,موضعي,,,,موضعي,موضعي
,وتكون,وتكون,,,وتكون,وتكون
,وارثي,وارتيوخليفتي_يا,,,اريثي,وارثي
,وخليفتي,,,,وخليفتي_,
,ويا,,,,ياابني,ياابني
,بني,بني,,,,
,كون,كون,,,,كون
,اعرف,اعرف_,,,اعرف,اعرف
,ان,ان,,,,
,لو,ولو,,,لو,لو
,,,,,كان,
,يطول,يطول,,,يطول,يطول
ذَنَب,ذَنَب,دنب,ذنب,,ذنب,ذنب
الخنزير,الكراز,الخنزير,الخنزير,,,
,,,,,البراز,
,,,البراز,,,البراز
,والخنزير,حتييكون,,,والخنزير,
,ويكون,,,,,يصير
سبع,سبعة,سبعة,سبعة,,سبعة,سبع
اذرع,اذرع,ادرع_,أذرعأمأزيد,,اذرع,تضرعفى
فلا,في,في,,,في,
,موضع,موضع,,,موضع,موضع
,الفرس,الفرس,,,الفرس,الفرص
,لم,لم,لم,,لم,لم
يقوم,يقوم,يقوم_,يقوم,,يقوم,يقوم
مقامالحصانولوصارايضًا,وشغلهلم,وشغلهلم,مقابلفرس,,وشغلهلم,ولم
,يقضي,يقضي_يا,,,يقضي_,
,ولو,,ولو,,ولو,
,يكون,,كان,,يكون,يكون
شعره,شعره,,شعره,,شعره,شعره
ليّنًانظير,الين,,ألين,,,الين
,واحسن,,من,,,من
الحرير_,مثل,,الحرير,,مثل,الحرير
,,,وأنعممن,,,
,الكتان,,الكتان,,الكتان,
,لميلبسوهالاحرار,,,,والحرير_ياابني,
يا,يا,,يا,,,يا
ابني,بني,بني,ابني,,,ابني
انا,انا,,انا,,انا,انا
قلت,كنتاقول,كنتاقول,قلت,,كنتاقول,قلت
انك,انك,انك,أنك,,انك,انك
انتتقوممقاميوتاخذمكانيوتقتبس,تكون,تكون,تكون,,تكون,تكون
,عوضي,وارتي,وريثيعندمماتي,,فياثريواثاري,فىاثارى
,وتمسك,وتمسك,وتمسك,,وتمسك,وتمسك
,موضعي,,موضعي,,موضعي,موضعي
,وتدّبر,,وتقتني,,وبيتي_وتكونتدبره,وتقتني
,بيتي,بيتي,مرتبتي,,,اثاثاتي
,,وتدبر,,,,
,وترث,,,,وترث,
,مقتناي,مقتناي_,,مقتناي,مقتناءي,
,,,,وترث,,
,وتكتسب,وتكسبعلومي,,,,
,اثاثي,,,اثاثي,,
,وعلومي,,وعلومي,وعلومي,,وعلومي
,ومعرفتي,,فأنت,ومعرفتي,ومعرفتي,
,وحكمتي,وحكمتي_,,وحكمتي,وحكمتي_,
,فانت,فانت,,فانت,فاماانت,فانت
,لا,لا,لا,لا,لا,لا
علومي,,,علومي,,,العلومى
وسائرتصرفاتي_ولكنانتما,,,,,,
قبلت,,,,,قبلت,
تعاليميوما,,,,,كلاميولاتعلمت,
,علمي,علمي,,علمي,علمي,
,قبلتولاكلامي,قبلتولاكلامي,قبلتولاكلامي,قبلتولاكلامي,ومعرفتي_,قبلتولاكلامي
سمعت,سمعت,سمعت_,سمعت,سمعت,,سمعت
اقواليولااستفدتشيئًا,ولا,ولا,ولا,ولا,,ولا
لله,لله,للرب,اله,الله,,الله
ايضًا_,صلحت,صليت,صلحت,سمعتوصليت,,صليت
,,وتظرعت,ياولديصرتليمثلأسدصاحب,,,
ولا,ولا,ولا,,ولا,,ولا
هو,هو,هو,,هو,,
ايضًا,,,,,,
سمعصوتك_,سمعصوتك,سمعصوتك,,سمعصوتك_,,سمعصوتك
,,وطلبتك_,,,,
يا,يا,يا,,يا,,يا
ابني,بني,بني,,ابني,,ابني
انك,,,,,,
صرت,صرت,صرت,,صرت,,صرت
لي,لي,لي,,لى,,
كالاسدالذيالتقىبحمار,مثلاسدصادف,مثلاسد_صادف,,مثلاسدصادف,,مثلاسدصادف
,ولقي,,,ولقى,,
,حمار,حمار,حمار,حمار,,حمار
وقت,وقت,وقت,فبداالحماريخدمالأسدمدةزمانإلىأنسمن,وقت,,وقت
الظهر,الصبح,السحر,,الصباح,,الصبح
فقال,فقال,فقال,,فقال,,فقال
,,له,,,,
الاسد,الاسد,الاسد,,الاسد,,الاسد
للحمار,للحمار,السلامعليك,,للحمار,,للحمار
اهلًاوسهلًاباتيانك_,تعالبالسلام,,,تعالبالسلام,,اهلاوسهلابيكوثم
,يااخي,يااخي,,يااخي,,
,ويا,ومحبي_فقالله,,ويا,,
,حبيبي,,,محبيفقال,,
قال,قال,,,,,قال
الحمار,الحمار,الحمار_,الحمار,الحمار,,الحمار
ترحيبكليكانيصادفذاك,,ياليت,فوثبعليهالأسدوأكله,,,والله
,هذا,,,هذا,,هذا
,سلامك,سلامك,,السلام,,سلامك
,كان,,,كان,,كان
,لقيوصادف,,,,,اراد
,,صادف,,صادف,,صادف
,الرجل,الرجل,,الرجل,,الذى
الذي,الذي,الدي,,الذى,,
ربطني,شدّني,ما,,ما,,
,,شدني,,شدَّني,,شدني
,,وتيقعندالسماء_حتيماكنتانظرك,,,,
وقت,وقت,وقت,,وقت,,وقت
المسآء_وياليتنيماشاهدت,المسا,الصباح,,المسا,,المسا
,وماحزق,,,وماحزق,,والعل
,اوثقالشدَّولعل,,,وثاقالشدلعل,,
,ماكان,,,ماكان,,ماكان
,اريت,,,رايت,,رايت
وجهك_,وجهك,,,وجهك_,,وجهك
ياابنيانّكصرتليكالفخالمنصوب,يا,يا,يا,يا,يا,يا
,بني,بني,ابني,ابني,ابني,ابني
,صرت,صرت,صرت,صرت,صرت,صرت
,ليمثل,ليمثل,ليمثل,ليمثل,ليمثل,لىكالعصفور
,فخً,فخًا,فخ,فخ,فخ,
,كان,,كان,كان,كان,
على,,,على,,,
مزبلة_فقالله,,,,,,
,,,مزبله,,,
,منصوب,منصوب,منصوب,منصوب,منصوب,
,فيالزباله,علي,فجا,على,على,
,,مزبله_,,,,
,,,,زباله,المزبلةفاتى,
,فاتا,فاتياليه,,فاتا,,
عصفور,عصفورً,عصفور,عصفور,عصفور,عصفور,
ما,واحد,وقالله_ايشتصنعهاهنا,إليه,واحد,واحد,واحد
,ووجد,,,ووجد,وسجدالى,وجدالفخفىموضعمصلىفقالالعصفور
,الفخ,,,الفخ,الفخ,
,,,,,وهو,
,منصوب,,,منصوب,منصوب_,
,فقالالعصفور,,فقالالعصفور,فقالالعصفور,فقالالعصفور,
,,,للفخ,للفخ,الى,للفخ
,الفخ,,ماالذي,,الفخ,
,ماذا,,,ماذا,ماذا,ماذا
تعمل,تعمل,,تعمل,تعمل,تعمل,تعمل
,,يااخي_,,يااخي,ههنا_,
هاهنا,هاهنا,فقاللهالفخاصلَّيللَّه_فقالله,هاهنا,هاهنا,,هاهنا
فقالالفخ_,قالالفخ,,قالالفخ,قالالفخ,فقالالفخ,فقالالعصفور
اصلي,واصلي,,إننيأصلي,واصلي,اصلي,اصلي
الىاللهالعليّ,هاهنا,,,,لله_,الاله
,,,لله,لله,,
,لله,,,,,
قالالعصفور,,,تعالى,تعالى,قالالعصفور,تعالى
ايضًاوالذيانتمستندعليه,وساله,,قالالعصفورللفخ,وسأله,ايش,فقال
ما,ايضا,,ما,ايضا,,
,القفشين,العصفور,,العصفور,,العصفور
,,وايش,,وقالله,,وايش
,وايش,هداالفخالديعندكوحولك_,,وايش,,هوهذاالذى
هو_,هو,,هو,هو,هو,
قالالفخهيعصايالمستند,هذاالعود,,,هذاالعود,هذاالعود,
,الذي,,الذي,الذي,الذى,
,انت,,انت,انت,انت,انت
,ماسكه,,عليهمستند,ماسكه,ماسكه_,عليهمستند
,قال,,أجابهالفخوقالله,فقال,قال,فقال
,الفخ,,,الفخ,الفخ,الفخ
,هذه,,هذه,هذه,هذه,هذه
,شبوقة,,,,عكاستيالذيفيها,
,هي,,,هي,,
,,,شبوقتي,شبوقتي,,شبوقتي
,,,الذي,الذي,,الذى
,استند,,أستند,استند,استند,استند
عليها,عليه,,عليها,عليها,وقت,عليها
عند,,,,فى,,
الصلوة,وقتالصلاه,,وقتالصلاه,وقتالصلاه,الصلوة_,وقتالصلاه
_,قالالقفشينوايشهوهذاالشي,,قال,وقال,قالالعصفورايش,
فقال,,,,,,فقال
العصفوروماهو,,,العصفوروماهو,العصفوروايشهوهذا,,العصفوروايشهوهذا
الذي,الذي,,الذي,الذي,الذي,الذى
في,في,,في,فى,في,فى
فيك,فمك,,فمك,فمك,فمك_,فمك
قال,قال,,قال,قال,قال,فقال
الفخهذا,الفخهذا,,الفخهذا,الفخهذا,الفخهذا,الفخهذا
,,,,,هو,هو
اكل,خبز,,اكل,خبز,خبز,اكل
هو,وقوتانا,,اللذين,وقوتًاوانا,وقوتانا,
,,,,,,وشرب
وشرب,,,,,,
,حامله,,,حامله,اعطيه,الذى
للذييقبلوناليّ_فقالالعصفوراذاًاناايضًا,لكل,,,لكل,لكل,
,الجياعوالمساكين,,,جايعومسكين,جايعومسكين_,
,الذين,,,الذين,الذين,
,يجون,,,يجون,يجيون,
,يحضرون,,يحضرون,ويحضرون,ويحضرون,يحضرون
,,,,الى,,عندىفقال
,عنديقال,,عنديقال,عنديقال,عندي_قال,
,القفشين,,العصفور,القفشين,العصفور,
,الان,,أتقدمآكلأنا,الان,الان,
,اذا,,,انا,انا,
اتقدمواكل,اتقدمواكل,,,اتقدمواكل,اتقدمواكل,اتقدمواكل
قالالفختقدم_,لانيجوعان,,قالالفختقدم,لانيجوعان,لانيجوعان_,
,فقال,فقال,كلودنا,فقال,فقال,فقال
,له,له,,له,له,
,الفخ,الفخ,,الفخ,الفخ,الفخ
,اتقدم,هداللفقراوللجياع,,اتقدم,تعالواتقدم_,اتقدم
,,فتقدم,,يااخيولاتخاف,فتقدم,واتدنا
فدنا,فدنا,الصفو,,فدنا,ودنا,
العصفورحتىياكلفقبضالفخعلى,القفينفي,العصفور,العصفور,القفشين,العصفور,العصفور
,لياكل,لياكل,لياكل,لياكل,لياكل,لياكل
,,منهفقلبعليهالفخمسكهمنرقبته_فقاللهالعصفورإنكانهدهصلاتكللَّه,وإلَّا,والان,الَّاوالفخقد,حبوبالذىمبذرحولالفخ
,الا,,,,,الا
,الفخ,,,الفخ,,
,قد,,,قد,,قد
,فلت,,,فلت,,فلت
,,,الفخ,,,الفخ
,,,فلت,,فلت,
,ومسك,,ومسك,ومسك,ومسك,ومسك
,القفشين,,العصفور,القفشين,العصفور,
,,,,,,العصفور
,في,,من,فى,في,فى
عنقه_,عنقه,,عنقه,عنقه,عنقه_,عنقه
فاجاب,فاجاب,,,فاجاب,فقالالعصفورالىالفخ,وحين
حينئذٍ,القفشين,,اجابالعصفور,,,اجابالعصفور
العصفور,,,,العصفور,,
وقالللفخ_,وقالللفخ,,وقالللفخ,وقالللفخ,,وقالللفخ
فاذاكان,ان,,إن,ان,ان,ان
,كانهذاهو,,كانهذاهو,كانهذاهو,كانهذاهو,كانهذاهو
خبزك,خبزك,,خبزك,خبزك,خبزك,خبزك
هذا,,,,,الىالجايع,الجياع
للجياع,للجياع,,للجياع,للجياع,,
فاللهتعالى,الله,,يشبلهاللهولا,الله,الله,الله
لا,لا,لا,,لا,لا,لا
يقبل,يقبل,يتقبل,,يتقبل,يتقبل,يقبل
صدقاتكوانكان,,منك_يابنيصرتليمثلقمله,صدقتك,لا,لا,صدقتك
صومك,,,وحسانتك,صومك,,
هذا,,,ولا,ولا,,
,,,,صلاتكولا,,
,صدقاتك,,,صدقاتك,صدقاتك,
,وحسناتك,,,ولا,ولا,ولا
,,,,حسناتك,احساناتك_,حسنتك
,وانكانهذاهوصومك,,,وانكانهذاهوصومك,وانكانهذاهوصومك,وانكانهذاهوصومك
وصلاتك,وصلاتك,,,وصلاتك,وصلوتك,وصلاتك
للهتعالىفلا,اللهلا,,,اللهلا,اللهلا,اللهلا
يقبل,يقبل,,,يكمَّل,,يقبل
,منك,,,,,
,لا,,,,,لا
صومك,صومك,,صومك,,,صومك
هذاولاصلاتكايضًاولايُوفي,ولاصلاتك,,ولاصلاتك,,,ولاصلاتك
,واللهلا,,ولا,,,ولا
,,,يقبلولا,,,
,يكمل,,يكمل,,يكمل,يكمل
الله,,,,,,الله
معك,معك,,معك,معك,معك,معك
خيرًا_ياابنيصرتلينظير,بالخيريا,,بالخيريا,بالخير_يا,بالخير_يا,بالخيريا
,بني,,ابني,ابني,ابني,ابني
,صرت,,صرت,صرت,صرت,صرت
,لي,,لي,لي,,لى
,مثل,,مثل,مثل,,مثل
قملة,قملة,,نملة,قملة,,قملتالتىتقع
الكائنةفيالحنطةلاتفيدشيئًا,التي,,,الذى,,
,تكون,تكون,,تكون,,
,في,في,,فى,,فى
,الحنطه,الحنطه_,الحنطه,الحنطه,,الحنطه
,هي,التيتفسدهاولاتنفعلشي_يا,,هى,,هى
,لمتصلحلشي,,لمتصلحلشي,لمتصلحلشي,,لمتصلحلشي
,وتخبلالحنطهيا,,,وتخبلالحنطهيا,,وتخبلالحنطهيا
,بنيصرت,بنيصرت,,ابني,,ابني
,,,,صرت,,
,ليمثلانسانزرع,ليمثلانسانزرع,,ليمثلانسانزرع,,
,عشر,عشر,,زرعًعشرة,,
,مكيايل,اكيال,,اكيال,,
,حنطه,حنطه_,,حنطه,,
,شكاره,وسقاهاورباهاحتيكبرتوصارت_فلما,,اشكاره,,
,ولما,,,ولما,,
,حصدها,حصدها,,حصدها,,
,عشرمكيالوجدفيها,,,ودقها,,
,,طلعت,,طلعت,,
,,خمسة,,عشرة,,
,,اكيال_,,اكيال,,
,فقال,فقال,,فقال,,
,للشكارهاذاماافضلتيشيالاالذي,لهااداقدنقصتيالنصف_منبعدماتعبتفيكيوربيتكي_فليتلاكنتيصرتولانبتتي_يابنيصرتليمثلفحل,,الرجلالشكارههذالكفضلتيشىالاالذى,,
,زرعت,,,زرعت,,
,ذلك,,,,,
,جمعتلاكانصرتيولاكان,,,جمعتلاكانصرتيولاكان,,
,نبّتتييابني,,,نبتى_ياابنيصرتليمثلرباط,,
,صرت,,,,,صرت
,لي,,,,,لىمثلكلب
,مثل,,,,مثل,
,الحجل,الحجل,,الحجل,الحجل,
,الرباطالذي,الديبصوتهالحلويرميارفاقهفيالشبكه_ومايقدرينجينفسه_يا,,الذىما,الرباطالذي,
,لم,,,,ما,
,يقدر,,,يقدر,يقدر,
,ينجي,,,ينجَّي,ينجي,
,روحه,,,روحه,نفسه,
,من,,,من,من,
,الصياد,,,الصياد,الصيَّاد_,
بل,بل,,بل,بل,بل,
تفسد,صوتهالحلوالطيّب,,تفسد,بصوتهالحلواالطيَّب,بصوتهالحلو,
افسادًا_ياابنيصرتليكالكلبالذييدخلاحدالبيوتللاحتمآءمنشدةالبردفاذاحَمِيَاخذبالنباح,يجمع,,الحنطا,يجمع,يجمع,
,حجلكثيرين,,,لحجل,حجلًا,
,,,,كثير,كثير,
,عنده,,,عنده,عنده,
,ليصطادون,,,حتىينصادوا,ليصطادون,
,مثله,,,مثله,مثله,
,يا,,,يا,ياابنيصرتليمثل,
,بنيصرتليمثل,بنيصرتليمثل,,بنيصرتليمثل,,
,الكلب,الكلب,,الكلب,الكلب,
,الذي,الدياصابهالبرد_,,الذى,,
,برد,,,برد,برد,برد
,له,,,له,له,فادخله
,فدخل,فدخل,,فدخل,فدخل,
,الى,الي,,الى,الى,الى
,بيت,بيت,,بيت,بيت,بيت
,الفخار,الفخار,,الفخار,الفخار,
,اعنيالقواق,,,,ليدفاءفلمادناودفي,
,ليدفا,ليدفا_,,ليدفا,,ليدفا
,ويسكنلهولما,فلماحمي,,ويسكنلهولما,,فلما
,دفي,,,دفى,,دفى
,وسكن,,,وسكن,,قام
,لهبدى,بدا,,بدا,بدا,
,ينبح,ينبح,,ينبح,ينبح,ينبح
علىاهلالبيت,عليهم,عليهم,,عليهم,علىاهلالبيت_,علىاهلالبيت
,فطردوه,فطردوه,,فطردوه,فطردوه,
,,,,,,ياابنيصرت
,ولم,ينظرد_فظربوهورجموهبالحجاره,,فلم,,لىمثل
,ينطردفضربوهوقتلوه,,,ينطردفضربوهوقتلوه,,
,ليلا,ليلا,,ليلا,ليلا,
,يعضهمويقتلهميابنيصرت,يعظهم_يابنيصرتليمثل,,يعضَّهم_,يعظهم_ياابنياناالى,
ياابنيصرت,,,ياابنيصرت,ياابنيصرت,,
ليمثل,ليمثل,,ليمثل,ليمثل,,
,الكراز,,,,,
الخنزير,الخنزير,الخنزير_,الخنزير,الخنزير,,الخنزير
الذي,الذي,الدي,الذي,الذي,,الذى
انطلق,مضا,مضا,مضى,مضا,,مضى
مع,مع,مع,مع,مع,,مع
اناسكبارللاستحمامفي,الروسا,الروسا,الروساءإلىالحمَّام,الرووسا,,الرووسا
,والاحرار,الي,,والاحرار,,
,الى,,,الى,,الى
الحمام,الحمام,الحمام_,,الحمام,,الحمام
ولمَّااستحمّ,ليسبح,,ليسبح,ليسبح,,اليسبح
,فلماسبح,فلماسبح,فلماسبح,فلماسبح,,فلماسبح
,,واغتسلفيالماء_,,,,
وخرج,وخرج,وخرج,وخرج,وخرج,,وخرج
من,من,اليخارجفنظرساقيهمملوهحماة,من,من,,من
الحمام,الحمام,,الحمَّاموجد,الحمام,,الحمام
وجد,راى,,,راى,,وجد
أوحالًافتمرغ,حمه,,,حماةً,,هناك
,نتنه,نتنه_,سيان,نتنه,,سيان
,فنزل,فنزل,فنزل,نزل,,فنزل
,واتمرغ,وتمرغ,تمرغ,وتمرغ,,وامرغ
فيها_يا,فيهايا,فيهايا,فيه,فيها_يا,,فيه
ابني,بني,بني,ياولديصرتليمثلالكلبالذيبردفدخلإلىبيتالفاخوريليدفافلمادفيبداينبحعليهمفهمضربوهوطردوهليلايعضهم,ابني,,
انّ,صرتليمثل,صرتليمثل,,صرتليمثل,,
,القردالذي,القرده_التيصنعوا,,القردةالذى,,
,عملوا,,,عملوا,,
,لها,لها,,لها,,
,فياذنيها,,,,,
,مراود,مراود,,مراود,,
,ذهب,دهبفيادانيها_وهيلمتتعوداليغيرالشحادوالوسخ,,ذهب,,
,وارظها,,,فىاذانهاوظهرهامملوا,,
,منالشحاروالسخام,,,منالشحاروالسخام,,
,لم,,,ولم,,
,تنظف,,,تنظف,,
,يا,يا,,يا,,
,بني,بني,,ابني,,
,صرتليمثلتيسالغنم,صرتليمثلتيسالغنم_,,صرتليمثلتيسالغنم,,
,الذي,الدييدهببارفاقهاليالمدبح_,,الذي,,
,يداخلرفاقه,,,يدخلارفاقه,,
,التيوس,,,التيوس,,
,والغنم,,,,,
