162,Add. 2020,Add. 2020,Add. 2020,Add. 2020,Add. 2020,Add. 2020,Add. 7200,Ar 7/229,Manuscrit 4122,Or. 2313,Sachau 162,Sachau 162,Sado no. 9,Syr 80
,,,,ܠܡܠܝ̈܂,,,ܠܡܠܝ̈,ܠܡܠܝ̈܇
,,,,ܐܠܐ,,,,ܐܠܐ
,,,,ܕܪܐܐܢܝܢܐܝܟ,,,ܕܪܐܐܢܝܢܐܝܟ,ܕܪܐܐܢܝܢܐܝܟ
,,,,ܕܒܪܘܚܐ܆,,,ܕܕܒܪܘܚܐ,ܕܒܪܘܚܐ܂
,,,,ܘܗܦܟܘܐܡܪܕܐܚܝܩܪܐܒܝܣܐܒܠܗܘܐܗܦܟܗ,,,ܘܗܦܟܘܐܡܪܕܐܚܝܩܪܐܒܝܣܐܒܠܗܘܐܗܦܟܗ,ܘܗܦܟܘܐܡܪܕܐܚܝܩܪܐܒܝܣܐܒܠܗܘܐܗܦܟܗ
,,,,ܪܥܝܢܗ܆,,,ܪܥܝܢܗܘܐܦܩ,ܪܥܝܢܗ܂
,,,,ܘܐܩܦ,,,,ܘܐܩܦ
,,,,ܒܪ,,,,ܒܪܝ
,,,,ܢܕܢ,,,ܢܕܢ,ܢܕܢ
,,,,,,,ܒܪܝ܂,
,,,,ܥܠ,,,ܥܠ,ܥܠ
,,,,ܢܟܣܝ̈,,,ܢܟܣܝ̈,ܢܟܣ̈ܝ
,,,,ܘܥܠ,,,ܩܢܝܢ̈ܐܡܫܕܪ,ܘܥܠ
,,,,ܩܫܝܫ̈ܝܡܒܕܪ܆,,,,ܩܢܝܢ̈ܝܡܒܕܪ܂
,,,,ܘܠܐ,,,ܘܠܐ,ܘܠܐ
,,,,ܚܐܣ,,,ܚܐܣ,ܚܐܣ܂
,,,,ܥܠ,,,ܥܠ,ܥܠ
,,,,ܥܒܕܝ,,,ܥܒܕܝ̈,ܥܒܕ̈ܝ
,,,,ܟܫܝܪ̈ܐ,,,ܟܫܝܪ̈ܐ,ܟܫܝܪ̈ܐ
,,,,ܕܢܫܓܕܘܢ,,,ܕܚܓܕ,ܕܢܢܓܕ
,,,,ܐܢܘܢ,,,ܐܢܘܢ,ܐܢܘܢ
,,,,ܩܕܡܝ܆,,,ܩܕܡܝ,ܩܕܡܝ܂ܥܠ
,,,,ܘܥܠ,,,ܘܥܠ,
,,,,ܪ̈ܟܫܝ,,,ܪ̈ܟܫܝ̈ܘܩܢܝܢܝ̈ܘܟܘܕܢܝܬܝ̈ܕܡܩܛܠ,ܪ̈ܟܫܝ
,,,,ܘܩܫܝܫ̈ܝܘܟܘܕܢ̈ܝܬܝܕܡܩܛܠ܆,,,,ܘܩܢܝܢ̈ܝܘܟܘܕܢܝ̈ܬܝܕܡܩܛܥ܂
,,,,ܘܟܕ,,,ܘܟܕ,ܘܟܕ
,,,,ܚܙܬܠܥܒܝ̈ܕܬܗܐܡܪܬܠܗ,,,ܚܙܝܬ,ܚܙܝܬ
,,,,,,,ܥܒܕܘܗܝ̈ܘܐܡܪܬܠܗܕܠܢܟܣܝ̈ـ܂ܒܪܝ,ܠܥܒܝܕ̈ܬܗܐܢܪܬܠܗ܂
,,,,ܕܠܢܟܣ̈ܝ,,,,ܕܠܢܟܣ̈ܝ
,,,,ܠܐ,,,ܠܐ,ܠܐ
,,,,ܬܬܩܪܒ܆,,,ܬܬܩܪܒ,ܠܐܬܬܩܪܒ܂
,,,,ܐܡܝܪ,,,ܐܡܝܪ,ܐܡܝܪ
,,,,ܒܡ̈ܬܠܐ,,,ܒܡܬܠܐ,ܒܡܬܠ̈ܐܐܝܕܐ
,,,,ܕܐܝܕܐ,,,ܕܐܝܕܐ,
,,,,ܕܠܐ,,,ܕܠܐ,ܕܠܐ
,,,,ܩܢܬ,,,ܩܢܝܬ,ܩܢܬ
,,,,ܥܝܢܐ,,,ܥܝܢܐ,ܥܝܢܐ
,,,,ܚܣܬ,,,ܠܐܚܣܬ܂,ܠܐܚܣܬ܂
,,,,ܘܚܘܝܬ,,,ܘܚܘܝܬ,ܘܚܘܝܬ
,,,,ܐܢܝܢ,,,ܐܢܝ̈ܢ,ܐܢܝܢ
,,,,ܠܡܪܝ,,,ܠܡܪܝ,ܠܡܪܝ
,,,,ܡܠܟܐ܆,,,ܡܠܟܐܟܕܢܦܩܕ,ܡܠܟܐ܂
,,,,ܘܕܢܦܩܕ,,,,ܘܕܢܦܩܕ
,,,,ܡܠܟܐܕܠܐ,,,ܡܠܟܐܕܠܐ,ܡܠܟܐܕܠܐ
