Borg_ar_201,Camb_Add_2886,Cambrigde_Add_3497,GCAA_00486,Mingana_ar_christ_93_84,Mingana_syr_133,Ms_orient_A_2652,Or_1292b,Paris_Arabe_3637,Vat_ar_2054
والجواروالخيل,والجواروالخيل,والجواروالخيل,والجواروالخيل,,والجواروالخيل,والجواروالخيل,والجواروالخيل_,والجواروالخيل,
والمواشي,والمواشي,و,والمواشي,,وكلما,والمواشي,و,والمواشي,
,,المواشى,,,,,المواشي,,
وغيرذلكمن,وغيرذلكمن,وغيرذلكمن,وغيرذلكمن,,,وغيرذلكمن,وغيرذلكمن,وغيرذلكمن,
كلما,جميعما,جميعما,جميعما,,,جميعما,جميعما,جميعما,
يملك:,يملكويقتني,يقتنى,يملكويقتني,,يملك,يقتني,يقتني,يقتني,
وبقى,وبقا,وبقى,وبقي,,وبقا,وبقى,وبقي,وبقي,
الامر,الامر,الامر,الامر,,الامر,الامر,الامر,الامر,
والنهى,والنهي,والنهى,والنهي,,والنهي,والنهي,والنهي,والنهي,
في,في,فى,في,,في,في,في,في,
يدّه:وتقدّم,يدنادانوجلس,يدهوتقدم,يدهوتقدم,,يدهوتقدم,يدهوتقدم,يدهوتقدم,يده_وتقدم,
عندالملك,,عندالملك,عندالملك,,عندالملك,عندالملك,عندالملك,عندالملك,
سنحاريب,,,متل,,سنحاريب,,,,
مثل,,مثل,,,مثل,مثل,مثل,مثل,
خاله,,خاله,خاله,,خاله,خاله,خاله,خاله,
حيقار,,حيقار,حيقار,,حيقار,حقار,حيقار,حيقار,
واكثر:,,واكثر,واكتر,,واكثر,واكتر,واكثر_,واكثر_,
فلمانظر,,,وبقا,,فلمانظر,وبقىحقار,وبقي,وبقي,
ناثان,حيقار,,حيقار,,نادان,,حيقار,حيقار,
الىالامر,فيبيته,,فيبيته,,الىالامر,فيبيته,فيبيته,فيبيته,
انهُبيدهِ:,يستريح,,,,انه,,,,
,وبقىحيقار,وبقىحيقار,,,,,,,
,,فىبيته,,,,,,,
,,مستريح,مستريح,,,مستريح,مستريح,مستريح,
,,ما,ما,,,ما,ما,وما,
,,عاد,,,,عاد,عاد,عاد,
,,يمضى,يمضي,,,يمضي,يمضي,يمضي,
,,الىعندالملك,اليالملك,,,الىعندالملك,اليعندالملكالاّ,اليعندالملكالاّ,
,,الافى,,,,الّا,,,
,في,,في,,,في,في,في,
,كل,كل,كل,,,كل,كل,كل,
,مده,,مده,,,مده,مده,مدة,
,منالزمان,مره,مره,,,مره,,مره,
,يمضي,يمضى,,,,يمضي,يمضي,يمضي,
,يسلم,يسلم,يسلم,,,يسلم,يسلم,يسلم,
,علىالملك,عليه,عليه,,,عليه,عليه,عليه,
,ويعود,ويرجع,ويعود,,,ويعود,ويرجع,ويرجع,
,الى,الى,الي,,,الى,الي,الي,
,بيتهفلماعلمنادان,بيتهفلماعلمنادان,بيتهفلماعلمنادان,,,بيته_فلماعلمنادان,بيته_فلماعلمنادان,بيته_فلماعلمنادان,
,بان,ان,ان,,,ان,ان,ان,
,الامر,الامر,الامر,,,الامر,الامر,الامر,
,والنهي,,بقي,,,,بقي,بقي,
,بقى,بقى,,,,بقى,,,
,في,فى,في,,في,في,في,في,
,يده,يده,يده,,يده,يده,يده,يده,
هزل,هزل,فهزل,هزل,,هزل,فهزل,فهزل,فهزل,
خالهُحيقار:,بحالحيقاروشتم,فى,,,,,في,في,
,,خاله,خاله,,خاله,خاله,خاله,خاله,
,,حيقار,حيقار,,حيقار,حقار,حيقار,حيقار,
,,وشمخ,وشمخ,,,وشمخ,وشمخ,وشمخ,
,عليه,عليه,عليه,,,عليه,عليه,عليه,
وبدا,وبدا,وبدا,وبدا,,وبدا,وبدا,وبدا,وبدا,
يذمّهُ,يدمه,يدمه,يدمه,,يذمه,يذمّه,يدمه,يدمه,
في,,,,,في,,,,
اينما,اينما,اينما,اينما,,اينما,اينما,اينما,اينما,
حضر:,يحضر,حضر,يحظر,,حضر,حضر,حضر,حضر,
ويقولان,ويقولان,ويقولان,ويقولان,,ويقولان,ويقولان,ويقولان,ويقولان,
حيقار,خالي,,حيقار,,حيقار,حقار,,خالي,
قد,حيقار,حيقار,قد,,قد,قد,حيقار,,
كبروخرف,بقى,بقى,بقي,,خرف,بقى,بقيَ,بقي,
,خرفان,كبيروخرفان,كبيروخرفان,,,كبيروخرفان,كبيروخرفان,كبيروخرفان,
وما,وما,وما,وما,,وما,وما,وما,وما,
بقا,بقى,بقا,بقي,,بقا,بقى,بقا,بقا,
يعرف,يعرف,يعرف,يعرف,يعرف,يعرف,يعرف,يعرف,يعرف,
شي:,شي,شيئا,شي,شي,شي,شيًا_,شيًا,شيًا_,
وبدا,وبدا,وبدا,وبدا,وبدا,وبدا,وبدا,وبدا,وبدا,
ناثان,,يظرب,,يبددالاموال,نادان,,,,
يضرب,يضرب,,يضرب,,يضرب,يضرب,يضرب,يضرب,
الجواروالعبيد:,العبيدوالجوار,العبيدوالجوار,الجواروالعبيد,,العبيدوالجوار,العبيدوالجوار,العبيدوالجوار,العبيدوالجوار,
ويبيعالخيل,ويبيعالخيل,ويبيعالخيل,ويبيعالخيل,ويبيعالخيل,ويبيعالخيل,ويبيعالخيل,ويبيعالخيل,ويبيعالخيل,
والجمال:,والجمال,والجمال,والبغال,والجمال,والجمال,والجمال,والجمال,والجمال,
وتصرّف,ويتصرف,وتصرف,وتصرف,ويضربالعبيدوالجواريويضربفيجميعماكان,وتصرف,وتصرف,وتصرف,وتصرف,
في,في,فى,في,,في,في,في,في,
جميع,كل,كل,كل,,جميع,كل,كل,كلما,
ما,ما,ما,ما,,ما,ما,ما,,
يملكهُخالهُ:,يملكه,يملكه,يملك,يملكه,يملك,يملكه,يملكه,يملكه,
,خاله,خاله,خاله,خاله,خاله,خاله_,خاله_,خاله_,
,حيقار,,,,,,,,
فلمانظر,فلمانظر,فلمانظر,فلمانظر,فلمانظر,فلمانظر,فلمانظر,فلمانظر,فلمانظر,
حيقار,حيقار,حيقار,حيقار,حيقار,حيقار,حقاراننادان,حيقار,حيقار,
انه,ان,ان,ان,ان,انه,,ان,ان,
ليس,ليس,ليس,ليس,ليس,ليس,ليس,ليس,ليس,
له,له,له,له,لنادان,له,له,له,لهُ,
شفقه,شفقه,شفقه,شفقه,شفقه,شفقه,شفقه,شفقه,شفقه,
علىمقتناه:طردهُ,على,على,علي,عليهولا,,على,علي,علي,
,عبيده,عبيده,,عليمقتناه,عليمقتناه,عبيده,عبيده,عبيده,
,وعلى,وبيته,,,,وبيته,وبيته,وبيته,
,بيته,,بيته,,,,,,
,فقامحيقارفطرده,طرده,طرده,طرده,طرده,طرده,طرده,طرده,
من,من,من,من,من,من,من,من,من,
بيتهِ,بيته,بيته,بيته,بيته,بيته,بيته,بيته,منزله,
واعلم,وارسلاعلم,وبعت,وارسلاعلم,واعلم,واعلم,وبعث,وبعت,وبعت,
فيهِ,,اخبر,,فيه,فيه,اخبر,اخبر,اخبر,
الملك:,,الملك,,الملك,الملك,,الملك,الملك,
,,به,,سنخاريبفاحضره,,,بهِ,بهِ,
,الملك,انه,الملك,الملك,,الملك,انه,انهُ,
,بهانه,عمال,بهانه,اليهوقاللهليسلكسلطانعليكلشيلخالكحيقار,,بهانه,عمال,عمال,
,بدد,,,,,عمّال,,,
,,,يبدد,,,,,,
,,يبدد,,,,يبدد,يبدد,يبدد,
,مقتناهورزقه,مقتناهورزقه,مقتناهورزقه,,,مقتناهورزقه,مقتناهورزقه,مقتناهورزقه,
فدعاالملك,فقامالملكودعا,فدعاالملك,فدعاالملك,,فدعاالملك,فدعاالملك,فدعاالملك,فدعاالملك,
لناثان,نادان,نادان,نادان,,لنادان,نادان,نادان,نادان,
وقال,وقال,وقال,وقال,,وقال,وقال,وقال,وقال,
لهُ:,له,له,له,,له,له,له,لهُ,
مادام,مادام,مادام,مادام,مادام,مادام,مادام,مادام,مادام,
,حيقار,حيقار,حيقار,,,حقار,حيقار,حيقار,
خالك,,,خالك,,خالك,,,,
طيّب:,طيّب,بالحياه,بالحياه,بالحياه,حيقارطيب,بالحياه,بالحياه,بالحياه,
فمايقدر,فلا,فلا,فلا,وبقيحيقاربعدذالكحزينالقلبعليالتعبالذي,فمايقدر,فلا,فلا,فلا,
احدٍيتسلّطعلىبيتهِومالهِ:وبقا,يتصلط,,,,احد,,,,
,,يتسلط,يتسلط,,يتسلط,يتسلط,يتسلط,يتسلط,
بعدذلكحيقارحزينعلى,,,,,,,,,
تعبهِ:الذي,احدًا,احدًا,احدان,,,احدًا,احدًا,احدًا,
,علىمالهولا,,علي,,,,علي,علي,
,على,على,,,على,على,,,
,بيته,بيته,بيته,,بيته,بيته,بيته,بيته,
,ولا,ولا,ولا,,وماله,ولا,ولا,ولا,
,على,على,علي,,,على,علي,علي,
,مقتناه,مقتناه,مقتناه,,,مقتناه_,مقتناه_,مقتناه_,
,فرتفعت,فارتفعت,فارتفعت,,,فارتفعةيدّ,فارتفعت,فارتفعت,
,يد,يد,يد,,,,يد,يد,
,نادانعن,نادانعن,نادانعن,,,نادانعن,نادانعن,نادانعن,
,,,بيت,,,حقار,,,
,خاله,,خاله,,,,,,
,حيقار,حيقار,حيقار,,,,حيقار,حيقار,
,وعن,وعن,وعن,,,وعن,وعن,وعن,
,جميع,,,,,,,,
,ماله,ماله,ماله,,,ماله,ماله,ماله,
,,جميعه,جميعه,,,جميعه_,جميعه,جميعه_,
,وبقى,وبقى,وبقي,,وبقى,وبقى,وبقي,وبقي,
,,,,,بعدذلكحيقارحزينعلى,,,,
,لايدخلولايخرج,لايدخلولايخرج,لايدخلولايخرج,,,لايدخلولايخرج,لايدخلولايخرج,لايدخلولايخرج,
,,اليه,اليه,,تعبهالتي,اليه,اليه,لعنده,
,ولا,ولا,ولا,,,ولا,ولا,ولا,
,يسلم,يسلم,يسلم,,,يسلّم,يسلم,يسلم,
,عليه_عند,عليهعند,عليهعند,,,عليه_عند,عليه_عند,عليه_عند,
,ذلك,ذلك,دلك,,,ذلك,ذلك,ذلك,
,ندم,ندم,ندم,,,ندم,ندم,ندم,
,حيقار,حيقار,حيقار,,,حقار,حيقار,حيقار,
,على,علىتعبهعلى,علي,,,علىتعبهعلى,علي,علي,
تعبه,تعبه,,تعبه,تعبه,تعبه,,تعبه,تعبه,
مع,مع,,مع,مع,مع,,علي,علي,
ناثان:,ابناخته,,نادان,نادان,نادان,,,,
,نادان,نادان,وبقا,,,نادان,نادان,نادان,
,وبقى,وبقى,,,,وبقى,وبقي,وبقي,
,حزين,حاير,حزين,,,حزين,حاير,حايرًا,
,جدًا,جدًا,جدان,,,جدّا_,جدًا_,جدًا_,
وكان,وكان,وكان,وكان,وكان,وكان,وكان,وكان,وكان,
لناثان,الىنادان,لنادان,لنادان,لنادان,لنادان,لنادان,لنادان,لنادان,
اخًا,اخًا,اخ,اخًا,اخ,اخًا,اخ,اخ,اخ,
صغير,اصغر,اصغر,اصغر,صغير,صغيرًا,اصغر,اضغر,اصغر,
,منه,منه,منه,اسمهنبورزدانواخده,,منه,منه,منه,
يسما,يسمى,يسمى,يسما,,يسما,يسما,يسما,يسما,
نبوزردان,بنوزردان,بنوداناخده,بنوزردان,,نبوزرادانفاخذه,نبوزردان,بنوداناخده,بنوداناخده,
:فاخذهُ,فاخده,,فاخده,,,فاخده,,,
حيقار,حيقار,حيقار,حيقار,حيقار,حيقار,حقار,حيقار,حيقار,
اليهعوض,اليهعوض,اليهعوض,اليهعوض,اليهعوض,اليهعوض,اليهعوض,اليهعوض,اليهعوض,
ناثان:,نادان,نادان,نادان,نادان,نادان,نادان,نادان,نادان,
,ورباه,,ورباه,,,_,ورباه,ورباه,
,,وربّاه,,,,وربّاه,,,
واكرمه,واكرمه,واكرمه,واكرمه,واكرمه,واكرمه,واكرمه,واكرمه,واكرمه,
غاية,غايت,غاية,غايه,غايت,غاية,غاية,غاية,غاية,
الاكرام,الاكرام,الاكرام,الاكرام,الاكرام,الاكرام,الاكرام_,الاكرام,الاكرام,
وسلّم,وسلم,وسلم,وسلمه,وسلم,وسلّم,وسلّم,وسلم,وسلم,
لهُ,اليه,اليه,,اليه,له,اليه,اليه,اليه,
جميع,جميع,جميع,جميع,جميع,جميع,جميع,جميع,جميع,
ما,ما,ما,ما,,ما,ما,ما,ما,
,,,,بيته,,,,,
يقتني:,يقتني,يقتنى,يقتني,ومقتناه,يقتني,يقتني,يقتني,يقتني,
وجعلهُ,وجعله,وجعله,وجعله,وجعله,وجعله,وجعله,وجعله,وجعله,
مدبّر,مدبر,مدبر,مدبر,مدبر,مدبر,مدبّر,مدبر,مدبر,
,بيته_,بيته,بيته,,بيته,بيته,بيته,بيته,
بيتهُوامرهُ:,,,,منزله,,,,,
,,وامره,وامره,وامره,وامره,وامره_,وامره_,وامره_,
فلما,فلما,فلما,فلما,فلما,فلما,فلما,فلما,فلما,
نظر,نظر,نظر,نضر,نظر,نظر,نظر,نظر,نظر,
ناثان,نادان,نادان,نادان,نادان,نادان,نادان,نادان,نادان,
ماقدصار:,ماقدصار,ماقدصار,ماقدصار,الاحمقماجرا,ماقدصار,ماقدصار,ماقدصار,ماقدصار,
اخذه,اخذه,اخده,اخده,اخده,اخذه,اخذه,اخده,اخده,
الحسدوالغيره:,الحسدوالغيره,الحسدوالغيره,الحسدوالغيره,الحسدوالغيره,الغيرهوالحسد,الحسدوالغيره_,الحسدوالغيره,الحسدوالغيره,
وبدا,وبدا,وبدا,وبدا,وبدا,وبدا,وبدا,وبدا,وبدا,
يشتكي,يشتكي,يشتكى,يشتكي,يشكي,يشتكي,يشتكي,يشتكي,يشتكي,
لكلمنيجالسهُ:,لكلمن,لكلمن,لكلمن,لكلمن,لكلمن,لكلمن,لكلمن,لكلمن,
,يساله,يساله,يجالسه,بحالهويقولان,يجالسه,يساله,يساله,يساله,
ويهزوا,ويهزوا,ويهزوا,ويهزوا,,ويهزوا,ويهزوا,ويهزوا,ويهزوا,
في,بخاله,بخاله,بخاله,,في,بخاله,بخاله,بخاله,
خالهِ,حيقار,,,خاله,خاله,,,,
ويقولان,ويقولان,ويقولان,ويقولان,,ويقولان,ويقول_ان,ويقولان,ويقولان,
خالي,خالي,خالى,خالي,,خالي,خالي,خالي,خالي,
,قد,قد,قد,,,قد,قد,قد,
طردني,طردني,طردنى,طردني,طردني,طردني,طردني,طردني,طردني,
من,من,من,من,من,من,من,من,من,
بيتهِ,بيته,بيته,بيته,بيته,بيته,بيته,بيته,بيته,
وقدّم,وقدم,وقدم,وقدم,وقدم,وقدّم,وقدّم,وقدم,وقدم,
اخي,اخي,اخىعلىّ,اخي,اخي,اخي,اخي,اخي,اخي,
عليّ:,عليّ,,علي,علي,عليّ,عليّ_,عليّ_,عليّ_,
ولكنان,ولكنان,ولكنان,ولكنان,ولكنان,ولكنان,ولكنان,ولكنان,ولكنان,
قدّرني,قدرني,قدرنى,قدرني,قدرني,قدرني,قدّرني,قدرني,قدرني,
الله,الله,الله,الله,الله,الله,الله,الله,الله,
,تعالى,تعالى,تعاله,,,تعالى,تعالي,تعالي,
لارميه,لارميه,لارميه,لارميه,لارميه,لارميه,لارميه,لارميه,لارميه,
في,في,فىمحنت,في,رميهحتي,في,في,في,في,
محنه,محنه,,محنه,,محنه,محنه,محنة,محنة,
للقتل,للقتل,القتل,للقتل,للقتل,القتل,القتل_,القتل_,القتل,
وبقي,وبقا,وبقى,وبقي,ثمانهمضتاياموسنينقليلتفمضا,وبدا,وبقى,وبقي,وبقي,
ناثان,نادان,نادان,نادان,,نادان,نادان,نادان,نادان,
يفتكر,يتفكر,يتفكر,يفتكر,,يفتكر,يتفكّر,يفتكر,يفتكر,
,,فى,,,,,,,
في,,,في,,في,في,في,في,
عثرة,,معتره,عترتً,,عثرة,عثره,معتره,معتره,
خالهِ:,لخاله,لخاله,لخاله,,خاله,لخاله,لخاله,لخاله,
,في,,,,,,,,
,,حيقار,حيقار,,,حقار,حيقار,حيقار,
,عترهيصنعهاله_,,,,,_,_,_,
فبعد,فبعد,ومنبعد,فبعد,,فبعد,ومنبعد,ومنبعد,ومنبعد,
مضيّةاياموسنين:,مدّه,مده,مضية,,اياموسنينمظي,مدةٍ,مده,,
,,,مدة,,,,,مدة,
,,طويله,طويلة,,,طويله,طويله,طويله,
,,فى,,,,في,في,في,
مضى,,,مضى,,,,,,
ناثان,,يوم,,,,يوم,يوم,يوم,
,,,نادان,,نادان,,,,
,من,من,,,,من,من,من,
,الزمانافتكر,الايام,,,,الايام,الايام,الايام,
,,مضى,,,,مضى,,,
,,,,,,,مضي,مضي,
,,نادان,,,,نادان,,,
,نادان,,,نادان,,,نادان,نادان,
,فيباله,,,,,,,,
وكتب,وكتب,وكتب,وكتب,وكتب,وكتب,وكتب,وكتب,وكتب,
رساله,رساله,رساله,رساله,رسالة,رساله,رساله,رساله,رسالة,
الى,الى,الى,الياكيش,يقولفيهاهكذامنسنخاريبالملكملكاتورونيوني,الى,الى,,,
,,,,الي,,,الي,الي,
اخيش,اخيش,اخيش,,اكيس,اخيش,اخيش,اخيش,اخيش,
ابن,ابن,ابن,ابن,ابن,ابن,ابن,ابنا,ابنا,
,,,,سالم,,,,,
شاه,شاه,شاه,شاه,شاه,شاه,شاه,شاه,شاه,
حليم,حكيم,حكيم,حكيم,,حليم,حكيم,حكيم,حكيم,
ملك,ملك,ملك,ملك,ملك,ملك,ملك,ملك,ملك,
الفرسوالعجم:,العجم,الفرسوالعجم,الفرسوالعجم,الفرسوالعجم,الفرسوالعجم,الفرسوالعجم_,الفرسوالعجم,الفرسوالعجم,
يقول,يقول,ويقول,يقول,,يقول,يقول,ويقول,يقول,
فيها,فيها,فيها,فيها,,فيها,فيها,فيها,فيها,
سلاما,هذا,هذا,هكدا,,,هكذا,هكذا,هكذا,
,السلامالتاموالعزوالاكرام,سلام,سلام,,سلام,سلام,سلام,(سلام),
تام,,التام,تام,,تام,تام,التام,التام,
مع,,وتحيات,وتحيات,,مع,وتحيات,و,وتحيات,
تحيات,,,,,تحيات,,تحيات,,
واكرام,,واكرام,واكرام,,واكرام,واكرام,واكرام,واكرام,
منسنحاريبملك,منسنحاريبملك,منسنحاريبملك,منسنحاريبملك,,منسنحاريبملك,منسنحاريبملك,منسنحاريبملك,منسنحاريبملك,
اثور,اتور,اثور,اتور,,اتور,اتور,اتور,اتور,
ونينوى,وننوى,ونينوى,ونينوي,,ونينوى,ونينوى,ونينوي,ونينوي,
:,,,,,,,,,
ومن,ومن,ومن,ومن,,ومن,ومن,ومن,ومن,
,عند,,,,,,,,
وزيرهوكاتبه,وزيرهوكاتبه,وزيرهوكاتبه,وزيرهوكاتبه,,وزيرهوكاتبه,وزيرهوكاتبه,وزيرهوكاتبه,وزيرهوكاتبه,
حيقار,حيقار,حيقار,حيقار,,حيقار,حقار_,حيقار,حيقار,
:,,,,,,,,,
اليكايهاالملك,اليكايهاالملك,اليكايهاالملك,اليكايهاالملك,,اليكايهاالملك,اليكايهاالملك,اليكايهاالملك,اليكايهاالملك,
الجليل:,الجزيلالسلام,الجليل,الجليل,,الجليل,الجليل,الجليل,الجليل,
سلام,,سلام,سلام,سلام,سلام,سلام,سلام,سلام,
بيني,بيني,بينى,بيني,بيني,بيني,بيني,بيني,بيني,
وبينك:,وبينك,وبينك,وبينك,وبينكمايهاالملكالجليل,وبينك,وبينك,وبينك,وبينك_,
وان,وان,وان,وان,وان,وان,وان,وان,وانه,
في,في,فى,في,في,في,فى,في,في,
حالوصول,حالوصول,حالوصول,حالوصول,حالوصول,حالوصول,حالوصول,حالوصول,حالوصول,
هذه,هذه,هذه,هده,الرسالت,هذه,هذه,هذه,هذه,
الرساله,الرساله,الورقه,الرساله,,الرساله,الرساله,الورقه,الورقة,
اليك:تقوم,اليكتقوم,اليكتقوم,اليكتقوم,,اليكتقوم,اليكتقوم,اليكتقوم,اليكتقوم,
,وتجي,تجى,تجي,,,تجي,تجي,تجي,
عاجلًا,عاجلًا,عاجلًا,عاجلًا,,عاجلًا,عاجلًا,عاجلًا,عاجلًا,
وتجيالىبقعة,,والوعد,اليبقعهاتور,,وتجيالىبقعة,والوعد,والوعد,والوعد,
اثورونينوى:حتّى,الى,الى,,,اتور,الى,الي,الي,
,بقعةنسرينواتور,بقعةنسرين,,,,بقعةنسرين,بقعةنسرينواتور,بقعةنسرينواتور,
,,,,,ونينوى,,,,
اسلّم,,,,,,,,,
,,,,,,واتور,,,
,وننيوى,واثور,ونينويحتي,,,,ونينويحتي,ونينويحتي,
,,ونينوى,,,,ونينوى,,,
,حتى,حتى,,,حتى,حتى,,,
,,,,,,اسلّم,,,
,اسلم,اسلم,اسلم,,اسلم,,اسلم,اسلم,
,اليك,اليك,,اليك,,اليك,اليك,اليك,
,,,,تجياليبقعتاتورونينوافاسلم,,,,المملكة,
لك,,,لك,لك,لك,,,,
المملكه,المملكه,المملكه,المملكه,المملكه,المملكه,المملكه,المملكه,,
بلا,بلا,بلا,بلا,بلا,بلا,بلا,بلا,بلا,
حرف,حرب,حرب,حرب,حرب,حرب,حرب,حرب,حرب,
ولا,ولا,ولا,ولا,ولا,ولا,ولا,ولا,ولا,
مصاف:,مصاف,مصاففه,مصاف,مصاف,مصاف,مصاففه_,مصاففه_,مصاففه_,
وكتب,وكتب,وكتب,وكتب,وكتب,وكتب,وكتب,وكتب,وكتب,
ايضًا,ايضًا,ايضًا,ايضًا,ايضا,ايضًا,ايضا,ايضًا,ايضًا,
رسالةً,رسالة,رساله,رسالة,رسالت,رسالة,رسالة,رساله,رسالة,
اخرى,اخري,اخرى,اخري,,اخرى,اخرى,اخره,اخري,
باسم,باسم,باسم,باسم,,باسم,باسم,باسم,باسم,
حيقار,حيقار,حيقار,حيقار,,حيقار,حقار,حيقار,حيقار,
الى,الى,الى,الي,الي,الى,الى,الي,الي,
فرعونملكمصر,فرعونملكمصر,فرعونملكمصر,فرعونملكمصر,فرعونملكمصر,فرعونملكمصر,فرعونملكمصر,فرعونملكمصر,فرعونملكمصر,
:,,,,عليلسانحيقاريقولفيهاهكذاالسلاموالتحيتوالاكرامعليكايهاالملكالجليل,,,,,
سلام,سلام,سلام,سلام,,سلام,سلام,سلام,سلام,
بيني,بيني,بينى,بيني,,بيني,بيني,بيني,بيني,
وبينك,وبينك,وبينك,وبينك,,وبينك,وبينك,وبينك,وبينك,
ايّها,ايها,ايها,ايها,,ايها,ايها,ايها,ايها,
الملك,الملك,الملك,الملك,,الملك,الملك,الملك,الملك,
المعظّم:,المعظم,المعظم,المعضموانفيحالوصول,,المعظم,المعظم_,المعظم_,العظيم_,
وان,وان,وان,,وان,وان,وان,وان,وان,
في,في,فى,,في,في,في,في,في,
حال,حال,حال,,,حال,حال,حال,حال,
وصول,وصول,وصول,,وصول,وصول,وصول,وصول,وصول,
هذه,هذه,الرسالة,,الرسالتاليكتركببعسكرك,هذه,,الرسالة,الرسالة,
الرساله,الرساله,,الرساله,,الرساله,الرساله,,,
اليك:تقوم,اليكتقوم,اليكتقوم,اليكتقوم,,اليكتقوم,اليكتقوم,اليكتقوم,اليكتقوم,
تجي,وتجي,تجي,تجي,وتجي,تجي,تجي,تجي,تجي,
الى,الى,الى,الي,اليبقعت,الى,الى,الي,الي,
اثور,اتور,اثور,اتور,,اتور,اتور,اتور,اتور,
ونينوى:,ونينوى,ونينوى,ونينويالي,,ونينوى,ونينوى,ونينويالي,ونينويالي,
الى,الى,الى,بقعت,,الى,الى,,,
بقعة,بقعة,بقعة,,,بقعة,بقعة,بقعة,بقعة,
نسرين,نسرين,نسرين,نسرين,نسرين,نسرين,نسرين,نسرين,نسرين,
:,,,حتي,حتي,,,حتي,حتي,
حتى,حتى,حتى,,,حتى,حتى,,,
اسلّم,اسلم,اسلم,اسلم,اسلم,اسلم,اسلّم,اسلم,اسلم,
لك,اليك,اليك,اليك,لك,لك,اليك,اليك,اليك,
المملكه,المملكه,المملكه,الملك,اتورونينووا,المملكه,المملكه,المملكه,المملكه,
بلاحربولاقتال:وكانخط,بلاحربولاقتالوكانخط,بلاحربولاقتالوكانخط,بلاحربولاقتالوكانخط,بلاحربولاقتالوكانخط,بلاحربولاقتالوكانخط,بلاحربولاقتال_وكانخط,بلاحربولاقتال_وكانخط,بلاحربولاقتال_وكانخط,
ناثان,نادان,نادان,نادان,نادان,نادان,نادان,نادان,نادان,
يشبهخط,يشبهخط,يشبهخط,يشبهخط,يشبهخط,يشبهخط,يشبهخط,يشبهخط,يشبهخط,
خالهُ,خاله,خاله,خاله,خاله,,خاله,خاله,خاله,
حيقار,حيقار,حيقار,حيقار,حيقار,حيقار,حقار,حيقار,حيقار,
:,,,تم,,,_,_,_,
