433,Sachau_336
ܡܨܘܬܐܢܗܘܐܩܪܒܐܘܩܛܠܐ܂ܘܐܢܬܗܘܐܬܡܢܐܘܬܬܩܛܠ܂ܘܐܘܡܬܩܪܐܐܢ̄ܬܠܣܗܕܘܬܐ܂ܒܪܡܐܡܪܐ̄ܢܐܠܟܙܠܡܢܬܡܢܘܬܬܢܝܚ܂ܒܪܝܠܐܬܩܘܡܒܚܪܝܢܐܠܡܐܕܥܠܡܢܕܗܘܚܝܠܬܢܡܢܟ܂ܘܢܥܒܪܡܠܬܗܥܠܝܟ܂ܒܛܠܒܝܫܬܐܘܐܙܟܐ,ܗܘܪܘܓܙܐܗܘܐܚܪܝܢܐ܂ܘܡܢܚܪܝܢܐܗܘܐܬܘܒܕܝܢܩܛܠܐ܀ܘܐܢܬܩܘܡܘܬܦܘܫܒܗܝܕܘܟܬܐܐܘܡܬܩܛܠܐܢَܬܐܘ܂ܡܣܗܕܝܢܠܟܣܗܕܘܬܐܘܒܥܝܢܘܬܒܥܝܢܡܢܟܣܗܕܘܬܐ܂ܘܒܬܪܟܢܐܬܝܐܠܟܬܘܬܐܐܘܒܗܬܐܢَܬܐܘܕܚܠܐܢَܬܘܣܗܕܐܢَܬܡܢܒܗܬܬܟܣܗܕܘܬܫܘܩܪܐ܂ܒܪܡܐܢܐܦܩܕܐَܢܐܠܟ܂ܦܪܘܚܘܥܪܘܩܡܢܬܡܢܐܡܬܝܕܗܘܐܚܪܝܢܐܘܬܬܢܝܚܢܦܫܟ܀ܐܘܒܪܝܝܕܝܕܐ܇ܠܐܬܩܘܡܠܘܩܒܠܗܘܕܪܒܡܢܟܒܙܒܢܗܘܒܫܢܝ̈ܐܕܝܠܗܘܬܫܬܡܠܐܡܠܬܐܥܠܝܟܒܕܝܢܐܘܡܙܕܟܐܐܢَܬܒܕܝܢܐ܂ܒܪܡܐܢَܬܠܐܬܗܘܐܚܘܨܦܢܐܘܒܛܠܚܪܝܢܐ܂ܘܙܟܐ
ܠܒܝܫܬܐ,ܠܒܝܫܬܐ
ܒܛܒܬܐ܂,ܒܓܘܛܒܬܐ܀
ܒܪܝܩܢܝܠܟܠܒܐ,ܒܪܝܩܢܝܠܟܠܒܐ
ܬܡܝܡܐܘܡܟܝܟܐܘܡܐܢܐ,ܕܟܝܐܘܢܩܕܐ܂ܘܗܘܢܐܘܡܕܥܐܡܪܝܩܐܘܫܦܝܐ܂
ܘܪܘܚܐ,ܘܪܘܚܐ
ܫܠܝܬܐܘܛܥܢܡܣܝܒܪܢܘܬܐܘܨܒܝܢܐ,ܡܟܝܟܬܐ܂ܘܫܒܝܠܐ
ܛܒܐܩܢܝܠܟ܂,ܛܒܐܩܢܝܠܟ܂
ܒܪܡܠܝܬ,ܠܐܦܐܫ
ܡܕܡܒܓܘܥܠܡܐܛܒܡܢܗ܂ܘܬܚܐܚܝ̈ܐ,ܡܕܡܒܓܘܥܠܡܐܛܒܡܢܗ܂ܘܬܚܐܚܝ̈ܐ
ܢܝ̈ܚܐܘܒܣܝܡ̈ܐ܂ܒܪܝ,ܗܢ̈ܝܐܐ܀ܒܪܝܒܖܝ
ܠܐܬܪܚܩܡܢܪܚܡܟܩܕܡܝܐ܂ܕܠܡܐ,ܠܐܬܪܚܩܡܢܪܚܡܟܩܕܡܝܐ܂ܕܠܡܐ
ܐ̄ܚܪܢܐ,ܐَܚܪܢܐ
ܠܐܢܩܘܡ,ܠܐܢܩܘܡ
ܒܕܘܟܬܗ,ܒܕܘܟܬܗ܀
ܒܪܝܠܓܢܬܐ,ܒܪܝܠܓܢܬܐ
ܕܕܝܢ̈ܐ,ܕܕܝ̈ܢܐ
ܠܐܬܚܘܬ܂,ܠܐܬܚܘܬ܂
ܘܠܒܪܬܕܝܢܐ,ܘܠܒܝܬܕܝܢ̈ܐ
ܠܐ,ܠܐ
ܬܡܥܘܪ܆,ܬܫܘܛ܂ܘܒܪܬܕܝ̈ܢܐܠܐܬܡܟܘܪ܀
ܒܪܝܣܥܘܪܪܚܡܟ,ܒܪܝܣܥܘܪܪܚܡܟ
ܒܡ̈ܠܐ,ܒܡܠ̈ܐ
ܛܒ̈ܬܐ܂ܩܕܡܫܠܝܛܐ܂ܘܐܡܪ,ܛܒ̈ܬܐ܂ܩܕܡܫܠܝܛܐ܂ܘܐܡܪ
ܠܡܥܕܝܘܬܗ܂,ܠܡܥܕܢܘܬܗ܂
ܡܢܦܘܡܗ,ܡܢܦܘܡܗ
ܕܐܪܝܐ܇,ܕܐܪܝܐ܀
ܒܪܝܠܐܬܚܕܐ,ܒܪܝܠܐܬܚܕܐ
ܒܒܥܠܕܒܒܟܟܕܢܡܘܬ܆,ܠܗܠܒܥܠܕܒܒܟ܀ܥܣܢܡܘܬ܀
ܒܪܝܐܢܢܩܘܡ,ܒܪܝܐܢܢܩܘܡ
ܐ̄ܢܫ,ܐَܢܫ
ܕܠܐܕܘܟܬܐ܂ܘܢܦܪܚܨܦܪܐܕܠܐ,ܕܠܐܕܘܟܬܐ܂ܘܢܦܪܚܨܦܪܐܕܠܐ
ܓܦ̈ܐ܂,ܓܦ̈ܐ
ܘܢܚܘܪܢܥܒܐܐܝܟ,ܘܢܚܘܪܢܥܒܐܐܝܟ
ܬܠܓܐ܇,ܬܠܓܐ܂
ܘܢܚܠܐܡܪܝܪܐܐܝܟܕܒܫܐ܂ܗܝܕܝܢ,ܘܢܚܠܐܡܪܝܪܐܐܝܟܕܒܫܐ܂ܗܝܕܝܢ
ܢܬܚܟܡܣܟܐܐ܀,ܢܪܚܟܡܣܟܠܐ܀
ܒܪܝܐܢܟܘܡܪܐ,ܒܪܝܐܢܟܘܡܪܐ
ܐܢ̄ܬ,ܐܢَܬ
ܕܐܠܗܐ܂,ܕܐܠܗܐ܂
ܗܘܝܬܙܗܝܪܡܢܗܛܒ܂ܘܒܕܟܝܘܬܐܗܘܝܬ,ܗܘܝܬ܂
ܥܐܠ,ܥܐܠ
ܩܕܡܘܗܝ܂,ܩܕܡܘܗܝ܀
ܒܪܝܓܒܪܐܕܐܠܗܐܐܛܐܒܠܗ܂ܕܐܦ,ܒܪܝܓܒܪܐܕܐܠܗܐܐܛܐܒܠܗ܂ܕܐܦ
ܐܢ̄ܬ,ܐܢَܬ
ܝܩܝܪܐ,ܝܩܝܪܐ
ܬܗܘܐ܆,ܬܗܘܐ܀
ܒܪܝܠܐܬܕܘܢܥܡ,ܒܪܝܠܐܬܕܘܢܥܡ
ܐ̄ܢܫܒܝܘܡܗܘܠܐ,ܐَܢܫܒܝܘܡܗ܂ܡܐ
ܬܩܘܡܠܘܩܒܠܢܗܪܐ,ܬܩܘܡܠܘܩܒܠܢܗܪܐ
ܒܡܐܬܝܬܗ܂,ܒܡܐܬܝܬܗ܀
ܒܪܝܥܝܢܗܕܒܪܢܫܐܐܝܟܡܒܘܥܐ,ܒܪܝܥܝܢܗܕܒܪܢܫܐܐܝܟܡܒܘܥܐ
ܗ̄ܝ܂,ܗَܝ܂
ܘܠܐܣܒܥܐܥܕܡܐ,ܘܠܐܣܒܥܐܥܕܡܐ
ܥܦܪܐ܆,ܕܡܬܡܠܝܐܥܦܪܐ܀
ܒܪܝܨܝܕܐܝܠܝܢܕܢܨܝܢܠܐ,ܒܪܝܨܝܕܐܝܠܝܢܕܢܨܝܢܠܐ
ܬܩܘܡ܆,ܬܩܘܡ܂܂
ܒܪܝܡܛܠܕܡܢ,ܒܪܝܡܛܠܕܡܢ
ܓܘܚܟܐ,ܓܘܚܟܐ܂
ܗܘܝܐܡܠܬܐܕܡܨܘܬܐܗܘܐ,ܗܘܝܐܡܠܬܐܕܡܨܘܬܐܗܘܐ
ܬܟܬܘܫܐ,ܬܟܬܘܫܐ܂
ܘܗܘܐܩܛܠܐ܀,ܘܗܘܐܩܛܠܐ܀
