433,Sachau_336
ܩܘܪ̈ܒܢܐܡܛܠܗܢܐܗܐܡܐܬܐܢ̄ܬ,ܩܘܪ̈ܒܢܐ܂ܡܛܠܗܕܐܬܡܘܬ
ܕܠܐ,ܕܠܐ
ܒܢ̈ܝܐܘܒܢ̈ܬܐ܂,ܒܢܝ̈ܢܘܠܐܒܢܬ̈ܐ܂
ܒܪܡ,ܒܪܡ
ܐܡܪܐ̄ܢܐ,ܐܡܪܢܐ
ܠܟ,ܠܟ
ܗܐܢܕܒ,ܗܐܕܝܢܢܕܢ
ܒܪܚܬܟ,ܒܪܚܬܟ
ܣܒܝܗܝܘܐܠܦܝܗܝ,ܫܩܘܠܠܗܘܐܠܦܠܗ
ܟܠܗ,ܟܠܗ
ܚܟܡܬܟ,ܚܟܡِܬܟ܂
ܘܗܘܢܐܪܬܟ܂,ܘܗܘܢܐܪܬܟ܂
ܘܢܣܒܬܢܕܒ,ܒܪܡܢܣܒܬܠܢܕܢ
ܒܪ,ܒܪ
ܚܬܝܘܪܒܝܬܗ,ܚܬܝ܂ܘܪܒܝܬܗ܁
ܘܕܒܪܬܗ,ܘܕܒܪܬܗ
ܘܐܫܠܡܬܗ,ܘܬܫܠܡܬܗ
ܠܬܡܢܐ,ܠܬܡܢܐ
ܢܫܝ̈ܢܡܝܢܩܢ̈ܝܬܐܕܡܝܩܘܢܗ܂ܘܫܡܢܬܗ,ܢܫ̈ܐܡܝܢܩܢ̈ܝܬܐ܂ܕܢܝܢܩܘܢܝܗܝܘܐܕܗܢܬܗ
ܒܡܫܚܐ,ܒܡܫܚܐ
ܘܕܒܫܐ,ܘܕܒܫܐ܂
ܘܐܠܒܫܬܗ,ܘܐܠܒܫܬܗ
ܙܚܘܪܝܬܐܘܐܪܓܘܢܐ܂ܘܐܘܬܒܬܗ,ܐܪܓܘܢܐܘܙܚܘܪܝܬܐ܂ܘܐܕܡܟܬܗ
ܥܠ,ܥܠ
ܐܡܠܐ,ܐܡ̈ܠܐ
ܪ̈ܟܝܟܬܐ܂,ܪ̈ܟܝܟܬܐ܂
,ܘܡܝ̈ܠܬܐ܂ܘܐܫܬܘܫܛ
ܘܪܒܐ,ܘܪܒܐ
ܢܕܒ,ܢܕܢ
ܒܪ,ܒܪ
ܚܬܝ,ܚܬܟ܂
ܐܝܟܐܪܙܐ,ܐܝܟܐܪܙܐ
ܡܫܒܚܐܘܐܠܦܬܗܟܬܘܒܘܬܐ܂ܘܚܟܡ̱ܬܐ,ܫܒܝܚܐ܂ܘܐܠܦܬܗ܂ܣܦܪܐܘܚܟِܡܬܐܘܦܝܠܣܘܦܘܬܐ
ܘܦܝܠܣܘܦܘܬܐ܂ܘܟܕܐܬܐܣܢܚܪܝܒܡܠܟܐܡܢ,ܘܦܝܠܣܘܦܘܬܐ܂ܘܟܕܐܬܐܣܢܚܪܝܒܡܠܟܐܡܢ
ܨܝܕܐܘܐܘܪܚܐ܂ܘܒܚܕ,ܦܘܢܩܗܘܐܘܪܚܗ܂ܘܚܕ
ܡܢ,ܡܢ
ܝܘܡ̈ܬܐܩܪܢܝ,ܝܘܡܝ̈ܢܬܩܪܢܝ
ܐܢܐܐܚܝܩܪ,ܐܢܐܐܚܝܩܪ
ܟܬܘܒܗܘܩܝܘܡܗܘܐܡܪܠܝ,ܣܦܪܗܘܟܝܠܝܪܟܗܘܐܡܪܠܝ܂
ܐܘ,ܐܘ
ܪܚܡܝܡܫܒܚܐܘܡܚܒܐܛܒܐ,ܪܚܡܐܫܒܝܚܐܘܚܒܝܒܐܘܡܝܩܪܐ
ܘܚܟܝܡܐ,ܘܚܟܝܡܐ
ܘܡܗܝܪܐܘܒܪܐ̄ܪ̈ܙܝܘܝܕܥܒܐ̄ܪ̈ܙܝܐܢ̄ܬܥܠܬܒܫܢ̈ܝܐ,ܘܡܗܝܪܐ܂ܟܬܘܒܐܕܐَܪܙܝ܂ܘܡܬܒܝܐܢܐܒܐَܪ̈ܙܝ܂ܕܟܕܐܢܬܥܠܬ܂
ܘܣܐܒܬܘܩܪܒܡܘܬܟ܂,ܘܣܐܒܬܘܩܪܒܡܘܬܟ܂
ܐܡܪܠܝܡܢܫܘܐܕܢܫܡܫܢܝ,ܘܦܩܘܕܕܡܢܘܢܫܡܫܢܝ
ܒܬܪܡܘܬܟ,ܒܬܪܡܘܬܟ
ܘܥܘܢܕܢܟ܂,ܘܩܒܘܪܬܟ
ܘܐܡܪܬܠܗܐܘܡܪܝܡܠܟܐܚܝܝ,ܘܐܡܪܬܠܗܐܘܡܪܝܡܠܟܐܚܝܝ
ܠܥܠܡܥܠܡܝܢ܂ܘܗܐ,ܬܠܥܠܡܠܕܪܕܪܝܢ܂ܘܐܢܐ
ܐܝܬܠܝܒܪ,ܐܝܬܠܝܒܪ
ܚܬܝ,ܚܬܝ܂ܐܘܗܘ
ܐܝܟܒܪܝ܂,ܐܝܟܒܪܝ܂
ܘܗܘܚܟܝܡܘܝܕܥ܂ܘܐܡܪ,ܘܗܐܐܠܦܬܗܝܘܠܦܢܝܕܝܠܝܟܠܗ܂ܘܗܢܘܚܟܝܡܐܘܥܪܝܡܐ܂ܘܦܩܕ
ܡܪܝܙܠ,ܡܪܝܙܠ
ܐܝܬܝܘܗܝ,ܐܝܬܝܗܝ
ܕܐܚܙܝܘܗܝ܂ܘܐܢܚܫܚܠܝ,ܕܐܚܙܝܘܗܝ܂ܘܐܢܚܫܚܠܝ
,ܗܘܢܫܡܫܢܝ܂ܘܢܩܘܡܩܕܡܝ܂ܘܐܢَܬܙܠܒܐܘܪܚܟ܂ܘܗܘܢܫܝܚܟܡܢܥܡܠܟ܂ܘܢܕܒܪܣܝܒܘܬܟܒܐܝܩܪܐܘܒܗܕܪܐ܂ܗܝܕܝܢܐܢܐܐܚܝܩܪܢܣܒܬܢܕܢܒܪܚܬܝ܂ܘܩܪܒܬܗܩܕܡܣܢܚܝܪܝܒܡܠܟܐ܂ܘܛܝܒܬܗܒܝܬܐܝܕܘܗ̈ܝܘܟܕܚܙܝܗܝܡܠܟܐ܂ܦܨܚܘܪܘܐܒܗ܂ܘܐܡܪ܂ܡܪܝܐܢܢܛܪܗܢܐܒܪܟ܂ܘܐܝܟܕܫܡܫܬܢܝܘܫܡܫܬܣܪܚܕܘܡܐܒܝܘܗܘܝܬܣܥܪܨܒܘܬܢܒܫܘܡܠܝܐ܂ܗܟܢܢܗܘܐܢܕܢ܇ܒܪܚܬܟ
ܢܫܡܫܢܝ,ܢܫܡܫܢܝ
ܘܢܩܘܡܩܕܡܝ܂ܘܐܢ̄ܬܐܪܦܐܚܐܪܘܬܟܘܐܪܚܡܝܘܗܝܡܛܠܬܟ܂ܘܐܪܚܡ,ܘܣܥܪܨܒܘܬܟ܂ܘܐܝܩܪܝܘܗܝܘܐܘܪܒܝܘܗܝ܂ܡܛܠܬܟܘܝܨܦܐَܢܐ
ܥܠܘܗܝ܂ܘܣܓܕܬܩܕܡ,ܥܠܘܗܝ܂ܘܣܓܕܬܩܕܡ
ܡܠܟܐ,ܡܠܟܐ܂
ܘܐܡܪܬܚܝܝܐܘ,ܘܐܡܪܬܚܝܝܐܘ
,ܡܪܝ
ܡܠܟܐ,ܡܠܟܐ
ܠܥܠܡܥܠܡܝܢ,ܠܥܠܡ܂
ܒܥܢܐܡܢܟܐܘܡܪܝ,ܒܥܢܐܡܢܟܐܘܡܪܝ
ܡܠܟܐ܂ܕܬܥܕܪܝܘܗܝܘܬܣܝܥܝܘܗܝ,ܡܠܟܐܕܚܨܦܬܠܗܘܬܥܕܪܠܗ܂
ܘܢܗܘܐ,ܘܢܗܘܐ
ܒܕܘܟܬܝ܂ܘܐܟܡܐ,ܒܒܝܬܟ܂ܐܝܟܢ
ܕܐܢܐܫܡܫܬܟ܂,ܕܐܢܐܫܡܫܬܟ܂
ܢܫܡܫܟܐܦܒܪܝ܂,ܘܫܡܫܬܐܒܘܟ܂
ܘܗܝܕܝܢ,ܘܗܝܕܝܢ
ܝܗ̄ܒ,ܝܗَܒ
ܠܗ,ܠܗ
ܐܝܕܐ܂,ܝܡܝܢܐ܂
ܘܝܡܐܠܗ,ܘܝܡܐܠܗ
ܡܘܡ̈ܬܐܠܐ,ܡܘܡ̈ܬܐ܂ܐܢܠܐ܆
ܢܗܘܐ,ܢܗܘܐ
ܠܘܬܗ܂ܐܠܐ,ܠܘܬܗ
ܒܐܝܩܪܐܘܒܫܘܒܚܐ܂,ܒܐܝܩܪܐܘܒܫܘܒܚܐ܂
ܘܩܡܬ,ܐܙܝܥܬ
ܘܐܡܪܬ,ܘܐܡܪܬ
ܐܝܟܢܐܡܠܟܐ܂ܘܒܪܝܢܕܒܐܢܐ,ܐܝܟܢܡܠܟܐ܆ܘܒܪܝَܢܕܢ
ܐܠܦܬܗ,ܐܠܦܬܗ
ܘܐܣܟܠܬܗܘܐܣܒܥܬܗ,ܘܒܝܐܬܗܘܒܝܐܬܗܡܢܝܘܠܦܢܝ܂ܘܣܒܥܬܗ
ܝܘܠܦܢܐ,ܝܘܠܦܢܐ
ܘܚܟܡ̱ܬܐ,ܬܘܚܟِܡܬܐ܂
ܥܕܡܐ,ܥܕܡܐ
ܕܗܘܐܩܪܘܝܐܐܝܟܕܐܢܐ܂ܗܟܘܬܐܠܦܬܗܘܐܡܪܬ,ܕܦܫܣܦܪܐܐܟܘܬܝ܂ܘܗܟܢܐܗَܘܝܬܠܡܐܠܦܘܠܡܐܡܪ
ܠܗܐܢܐܐܚܝܩܪ,ܠܗܐܢܐܐܚܝܩܪ
ܚܟܝܡܐ܀ܘܐܦܡܢܝܘܠܦܢ̈ܘܗܝܕܐܚܝܩܪܚܟܝܡܐܘܡܬܠܘܗ̈ܝܫܦܝܪ̈ܐܐܡܪܗܟܢܐܥܠܗܟܢܐܥܠܬܘܟܠܢܐܕܐܠܗܐ܂ܐܘܒܪܝܢܕܒ,ܚܟܝܡܐ܀܀܀܀܀ܚܟܡِܬܐܘܝܘܠܦܢܐܘܡܬ̈ܠܐܕܐܚܝܩܪ܁ܕܐܠܦܠܢܕܢܒܪܚܬܗ܀܀܀
